"","neutral_082.jpg","neutral_104.jpg","neutral_106.jpg","neutral_114.jpg","neutral_117.jpg","neutral_156.jpg","neutral_186.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2850.jpg","neutral_D.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_NF4.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,0,1,0,0.75,0,0,0,0,0.5,1,1,1,1,0.25,0,1,0,0,0,0,0,1,0,0
"neutral_104.jpg",0,0,0,0,0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0.5,0,1
"neutral_106.jpg",1,0,0,1,1,0,0,0,0.5,1,0,1,0,0.5,0,0,1,0,0,0,0,0.333333333333333,0,0,1
"neutral_114.jpg",0,0,1,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
"neutral_117.jpg",0.75,0.666666666666667,1,0,0,1,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_156.jpg",0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.8,0,1,0,0,0,0
"neutral_186.jpg",0,0,0,0.5,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0.5
"neutral_194.jpg",0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.5,0,0,0
"neutral_199.jpg",0,0,0.5,0,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1
"neutral_2019.jpg",0.5,0,1,0,1,0,0.5,0,0,0,0,0,1,0,0,1,0,0,1,1,0.25,0.5,0.5,0,0
"neutral_2200.jpg",1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.5,0,0,0,0
"neutral_2305.jpg",1,1,1,0,0,0,0.5,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"neutral_2850.jpg",1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_D.jpg",1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0.5,0,1,0,0
"neutral_N04.bmp",0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_N05.bmp",0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0
"neutral_N13.bmp",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"neutral_N17.bmp",0,0,0,0,0,0,0.5,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
"neutral_N20.bmp",0,0,0,0,0,0.8,1,0,0.5,1,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0
"neutral_N22.bmp",0,1,0,0,0,0,0.5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"neutral_N33.bmp",0,1,0,0,0,1,0,0.333333333333333,0,0.25,0.5,1,0,0.5,0,0,0,0,0,0,0,0.25,0.333333333333333,0,0.333333333333333
"neutral_N34.bmp",0,0,0.333333333333333,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,1,1,0,0.25,0,0,0,0
"neutral_n5.jpg",1,0.5,0,0.6,0,0,0,0,0,0.5,0,0,0,1,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0
"neutral_NF4.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_SP3.jpg",0,1,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,1,0.333333333333333,0,0,0,0
