"","positive_032.jpg","positive_041.jpg","positive_056.jpg","positive_2002.jpg","positive_2025.jpg","positive_2217.jpg","positive_2300.jpg","positive_2306.jpg","positive_2395.jpg","positive_4574.jpg","positive_5628.jpg","positive_7325.jpg","positive_7499.jpg","positive_7502.jpg","positive_8120.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_d6.jpg","positive_EF1.jpg","positive_m9.jpg","positive_p1.jpg","positive_s1.jpg","positive_S22.jpg"
"positive_032.jpg",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_041.jpg",0,0,0,0,0,0,1,0,0,0.5,0,0,0.333333333333333,0,0,1,0,0,0,1,1,0,1,0,1
"positive_056.jpg",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0,0.333333333333333,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2025.jpg",0,0,0,0,0,0.5,1,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0
"positive_2217.jpg",0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0.5,0,1
"positive_2300.jpg",0,1,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0
"positive_2306.jpg",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.333333333333333,0,0,1,0
"positive_2395.jpg",0,0,0,0.5,0,0,0,0,0,1,0,0,0,0.5,0,0.5,1,0,0.6,0,0.25,0,1,0,0.333333333333333
"positive_4574.jpg",1,0.5,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0.5
"positive_5628.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0.5,1,0.333333333333333,1,0,0,0,0,0,0,0,0
"positive_7325.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.5,0,1,0,1,0
"positive_7499.jpg",0,0.333333333333333,1,0,0,0,0.5,0,0,0,0.333333333333333,0,0,1,0,1,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0
"positive_7502.jpg",0,0,0,0,0,0,0,1,0.5,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,1
"positive_8120.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
"positive_8461.jpg",0,1,1,0,0,0,0,0,0.5,0,0.333333333333333,1,1,1,1,0,0,0,0.5,0,0,0,1,0,0
"positive_8470.jpg",0,0,0,0,0,0,0,0,1,0,1,1,0.666666666666667,0,1,0,0,0,1,0,0,0,0,0,0
"positive_b.jpg",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_c1.jpg",0,0,0,0,0,0,0,0,0.6,0.5,0,0,0,0,0,0.5,1,0,0,0.5,0,0,0,0,0
"positive_d6.jpg",0,1,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1,0,0,0,0.5,0,1,0,1,0,0
"positive_EF1.jpg",0,1,0.5,0,0.5,0,0,0.333333333333333,0.25,0.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0.8,1
"positive_m9.jpg",0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"positive_p1.jpg",0,1,0.333333333333333,0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"positive_s1.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0.8,0,0,0,0
"positive_S22.jpg",0,1,0,0,0,1,0,0,0.333333333333333,0.5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
