"","negative_113.jpg","negative_207.jpg","negative_2095.jpg","negative_215.jpg","negative_217.jpg","negative_224.jpg","negative_228.jpg","negative_2458.jpg","negative_251.jpg","negative_2810.jpg","negative_6211.jpg","negative_6212.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9190.jpg","negative_9421.jpg","negative_AF3.jpg","negative_c5.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_MF2.jpg","negative_SF4.jpg"
"negative_113.jpg",0,0,0,0.333333333333333,0,0,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0
"negative_207.jpg",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,0,1,0,1,0.5,1,0,1,0,0.5
"negative_2095.jpg",0,1,0,0,0,1,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.75,0,0,0
"negative_215.jpg",0.333333333333333,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.666666666666667,0,0,0,0,0,0
"negative_217.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_224.jpg",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"negative_228.jpg",0,0,0.5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0.5
"negative_2458.jpg",1,0,0,0,0,0,1,0,0.5,0,0,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0
"negative_251.jpg",0.5,1,1,1,0,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,0,0
"negative_2810.jpg",0,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,1,0,1,1,0,0.75,1,0,0,0,0,0.333333333333333
"negative_6211.jpg",0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,1,0.5,1,0,0,0,0.5,0,0,0,0,0,0
"negative_6212.jpg",1,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,1,0,0,0,0,0,1,0.5,0,1,0,1,1,0,0.5,0,0,0.5,0,0,0,0
"negative_65701_1.jpg",0,0.333333333333333,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5
"negative_6821.jpg",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0.25,0,0,0,0,0
"negative_8231.jpg",0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0
"negative_9190.jpg",0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0
"negative_9421.jpg",0,1,0,0.666666666666667,0,0,0,0,0.5,0.75,0.5,0,0,0,0,0,1,0,0,0,0,0,0.5,0.333333333333333,0
"negative_AF3.jpg",0,0.5,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0.25,0,0,0,0,0,1,0,0,0
"negative_c5.jpg",0,1,1,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,0
"negative_DP3.jpg",0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"negative_FP3.jpg",0.333333333333333,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.5,0,1,0,0,1,1
"negative_MF2.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,1,0,1
"negative_SF4.jpg",0,0.5,0,0,0,1,0.5,0,0,0.333333333333333,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,0
