"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_104.jpg","neutral_106.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_121.jpg","neutral_124.jpg","neutral_156.jpg","neutral_157.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2442.jpg","neutral_D.jpg","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_S5.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,0,0,1,0.333333333333333,0.666666666666667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"neutral_099.jpg",0,0,0,0,0,1,1,0,0.5,1,0,1,1,0,0,1,0,1,0,0.5,0,0,0,0,0
"neutral_103.jpg",0,0,0,0,0,1,0,0,0.5,0,0,0.666666666666667,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"neutral_104.jpg",1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"neutral_106.jpg",0.333333333333333,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"neutral_114.jpg",0.666666666666667,1,1,0.2,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
"neutral_116.jpg",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_117.jpg",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"neutral_121.jpg",0.5,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0
"neutral_124.jpg",0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0.666666666666667,1,1,0,0,0.5,0,0,1,0.5
"neutral_156.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_157.jpg",0,1,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"neutral_199.jpg",0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"neutral_2200.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333333333,0.5,0,0,0,0,0,0,1,0
"neutral_2215.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.666666666666667,0,0,1,0
"neutral_2305.jpg",0,1,0.5,0,1,1,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0.5
"neutral_2442.jpg",0,0,0.5,0,1,1,0,0,0,1,0,0,0,0.5,0,1,0,1,0,0,0,0,1,1,0
"neutral_D.jpg",0,1,0,0,0,1,0,1,0.5,1,0,0,1,0,0.5,0,1,0,0,0,0.333333333333333,0,1,0,0.5
"neutral_N05.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_N07.bmp",0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0
"neutral_N12.bmp",1,0,0,0,1,0,0,0,0.5,0.5,0,0,1,0,0.666666666666667,0,0,0.333333333333333,0,1,0,0,1,1,0
"neutral_N33.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_N34.bmp",1,0,0,0,0,0,0,1,0.5,0,0,0.5,0,0,0,0,1,1,0,0.5,1,0,0,0,0
"neutral_S5.jpg",1,0,0,0,0,0,0,0,0.5,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0
"neutral_SP3.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,1,0,0,0
