"","positive_012.jpg","positive_032.jpg","positive_041.jpg","positive_042.jpg","positive_1601.jpg","positive_2002.jpg","positive_2034.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_2391.jpg","positive_2395.jpg","positive_4689.jpg","positive_7499.jpg","positive_7502.jpg","positive_7660.jpg","positive_8120.jpg","positive_b.jpg","positive_c1.jpg","positive_EF1.jpg","positive_hp2.jpg","positive_s1.jpg","positive_s2.jpg","positive_g6.jpg","positive_S22.jpg"
"positive_012.jpg",0,1,0,0,0.333333333333333,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,1
"positive_032.jpg",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,1,0,0,0,1,0,0.5,0,0,0,0,0.75,0,1,1
"positive_041.jpg",0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0
"positive_042.jpg",0,0.333333333333333,1,0,0.5,1,0,0,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,1,0,0,1,0
"positive_1601.jpg",0.333333333333333,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
"positive_2002.jpg",0,0.333333333333333,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2034.jpg",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.75,0,0.5,0,0,0,0,0,0,0
"positive_2300.jpg",0,0,1,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,1,1,0,1,0,0,0,0,0
"positive_2304.jpg",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"positive_2306.jpg",1,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.666666666666667,0
"positive_2391.jpg",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0
"positive_2395.jpg",0,0,0,1,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"positive_4689.jpg",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"positive_7499.jpg",0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
"positive_7502.jpg",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0.5,0,0,1
"positive_7660.jpg",0,0,1,0,0,0,0.75,0.5,0,0,0,0,0,1,0,0,0,1,0.666666666666667,0.666666666666667,1,0,0,0,0
"positive_8120.jpg",1,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333333333
"positive_b.jpg",0,0,1,0,0,0,0.5,1,0,1,0,0.5,0,0,0.333333333333333,1,1,0,0,0.5,0,1,0,0,0
"positive_c1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0
"positive_EF1.jpg",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.666666666666667,0,0.5,0,0,0,0,0,1,0
"positive_hp2.jpg",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.5,0,0,0
"positive_s1.jpg",0,0.75,1,0,1,0,0,0,0,1,0.666666666666667,0,0,0,0.5,0,0,1,0,0,0.5,0,0,0,0
"positive_s2.jpg",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"positive_g6.jpg",0.5,1,0,1,0,0,0,0,1,0.666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"positive_S22.jpg",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.333333333333333,0,0,0,0,0,1,0,0
