"","neutral_082.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_121.jpg","neutral_124.jpg","neutral_157.jpg","neutral_169.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N13.bmp","neutral_N22.bmp","neutral_n5.jpg","neutral_NF4.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,0,0,0.5,0.5,1,0,0,0,0,0,0.5,0,1,0,1,0,0,1,0,1,1,1,0,0
"neutral_114.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,1,0,0,1,0,0,0,1,0
"neutral_116.jpg",0,1,0,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"neutral_117.jpg",0.5,0,0.5,0,0.5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0
"neutral_121.jpg",0.5,0,1,0.5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"neutral_124.jpg",1,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,1,0.5,0,0,1,1,0,0,0
"neutral_157.jpg",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0,1,0
"neutral_169.jpg",0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0.666666666666667,0,0,0
"neutral_194.jpg",0,0,0,0,0,0.5,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"neutral_2019.jpg",0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"neutral_2200.jpg",0,0,0,0,0,0,0,0,0,1,0,0.5,0,1,0,0.5,0,1,0,0,0,0,0,0,0
"neutral_2305.jpg",0.5,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"neutral_2393.jpg",0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.333333333333333,0,0,0
"neutral_2442.jpg",1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
"neutral_2745.1.jpg",0,0,1,0,0,0.333333333333333,1,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0
"neutral_2850.jpg",1,0,1,0,0,0,0,1,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,1,0,0,0,0,0
"neutral_D.jpg",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0,0,0
"neutral_J2.jpg",0,0,0,0,0,0.5,0,0,0,1,1,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0
"neutral_N01.bmp",1,0,0,0,0,0,0.5,0.5,1,0,0,0,0.5,0,0,0,0,0,0,1,1,1,0.5,0,0
"neutral_N04.bmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,1,0,1,0,0,1,0
"neutral_N13.bmp",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0.666666666666667,1
"neutral_N22.bmp",1,0,0,0,0,1,0.5,0.666666666666667,0,0,0,0,0.333333333333333,0,1,0,0.5,0,1,0,1,0,0,0,0
"neutral_n5.jpg",1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0
"neutral_NF4.jpg",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.666666666666667,0,0,0,0
"neutral_SP3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
