"","neutral_082.jpg","neutral_114.jpg","neutral_116.jpg","neutral_121.jpg","neutral_169.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_N05.bmp","neutral_N13.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_NF1.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,0,1,0,0,1,0,0.5,0,0,0,1,0,1,0.333333333333333,0,0,0,0,0,0,1,1,0,1
"neutral_114.jpg",0,0,0,1,0,1,0,1,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_116.jpg",1,0,0,1,1,0,0,0,0.5,1,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"neutral_121.jpg",0,1,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"neutral_169.jpg",0,0,1,0,0,0,0,0,0,0,1,0,0.5,0,1,1,1,0,1,0,0,0,0.333333333333333,0,0
"neutral_2019.jpg",1,1,0,0,0,0,0,0,0,0,0.333333333333333,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"neutral_2200.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0,0,0,0,1,1,1,1
"neutral_2215.jpg",0.5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5
"neutral_2305.jpg",0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.5,0,0
"neutral_2394.jpg",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0
"neutral_2442.jpg",0,0.333333333333333,0.666666666666667,0.666666666666667,1,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0,0,0.5,0,0.5
"neutral_2495.jpg",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"neutral_2745.1.jpg",0,0,0,0,0.5,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"neutral_BP5.jpg",1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0.333333333333333,1,1
"neutral_N05.bmp",0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,1,0,0,1,0,0
"neutral_N13.bmp",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.666666666666667,1,0,0,0,0,1
"neutral_N19.bmp",0,0,0,0,1,0,0,0,0.333333333333333,0,0.25,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"neutral_N20.bmp",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
"neutral_N33.bmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.666666666666667,1,0,0,0,0.333333333333333,0,0,0,0
"neutral_N34.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"neutral_NF1.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,1,0
"neutral_r.jpg",1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0
"neutral_S5.jpg",1,0,0,0,0.333333333333333,1,1,0,0.5,0.666666666666667,0.5,1,0,0.333333333333333,1,0,0,0,0,0,0,0.333333333333333,0,1,0
"neutral_SP2.jpg",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
"neutral_SP3.jpg",1,0,0,0,0,0,1,0.5,0,0,0.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0
