"","positive_015.jpg","positive_032.jpg","positive_041.jpg","positive_056.jpg","positive_078.jpg","positive_1601.jpg","positive_2025.jpg","positive_2034.jpg","positive_2217.jpg","positive_2391.jpg","positive_2395.jpg","positive_2501.jpg","positive_4574.jpg","positive_4598.jpg","positive_5628.jpg","positive_7325.jpg","positive_8461.jpg","positive_b.jpg","positive_d6.jpg","positive_g6.jpg","positive_m9.jpg","positive_p1.jpg","positive_s1.jpg","positive_s2.jpg","positive_s5.jpg"
"positive_015.jpg",0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0,1,1,0.5,0.5,1,0.5,1,0,1,0.333333333333333
"positive_032.jpg",0,0,0,0,0,0,0.25,0,0,0,1,0,1,0,0,0,1,0,0.666666666666667,1,0,0,0,1,0
"positive_041.jpg",0,0,0,0,1,0,0,0,0,0.5,0,1,0.5,0,0,0,0,0,1,0,0,0,1,0,0
"positive_056.jpg",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"positive_078.jpg",0,0,1,0,0,1,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5
"positive_1601.jpg",0.5,0,0,0,1,0,0,0,0,1,0,0.5,0,1,0,0,0,1,0,0,1,1,0.5,0.666666666666667,0
"positive_2025.jpg",0,0.25,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.333333333333333,0,0,0,0,0.2
"positive_2034.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2217.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"positive_2391.jpg",0.333333333333333,0,0.5,0,0.333333333333333,1,0,0,0,0,0,0,0.5,0,0,0,0.5,1,0,1,1,1,0,0,0
"positive_2395.jpg",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0
"positive_2501.jpg",0,0,1,1,0,0.5,0,0,0,0,1,0,0.5,0,0,0,0,1,0.666666666666667,0,0,1,0,0,0
"positive_4574.jpg",0,1,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0.5,1,0,1,0.5,0,0,0,0,1,0.5,0
"positive_4598.jpg",0,0,0,0,1,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0
"positive_5628.jpg",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.333333333333333,0,0,0,1,0,0
"positive_7325.jpg",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,1,0,0,1,1,0,0.5,1
"positive_8461.jpg",1,1,0,0,0,0,0,0,0,0.5,1,0,1,0,1,0.5,0,1,0,1,0,0,0,0,0
"positive_b.jpg",0.5,0,0,0,0,1,0,0,0,1,0,1,0.5,0,0,1,1,0,0.5,0,0,0,0,0,0
"positive_d6.jpg",0.5,0.666666666666667,1,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0.5,0,0,0,0,0,0.666666666666667,0
"positive_g6.jpg",1,1,0,0,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"positive_m9.jpg",0.5,0,0,0,0,1,0,0,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0.5,1
"positive_p1.jpg",1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0.5,0.333333333333333
"positive_s1.jpg",0,0,1,0,0,0.5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"positive_s2.jpg",1,1,0,0,0,0.666666666666667,0,0,0.5,0,1,0,0.5,0,0,0.5,0,0,0.666666666666667,0,0.5,0.5,0,0,0
"positive_s5.jpg",0.333333333333333,0,0,0,0.5,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.333333333333333,1,0,0
