"","positive_012.jpg","positive_041.jpg","positive_042.jpg","positive_078.jpg","positive_1601.jpg","positive_2306.jpg","positive_2391.jpg","positive_2501.jpg","positive_2550.jpg","positive_4574.jpg","positive_4598.jpg","positive_4689.jpg","positive_7499.jpg","positive_7660.jpg","positive_8461.jpg","positive_b.jpg","positive_c1.jpg","positive_d6.jpg","positive_EF1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_m9.jpg","positive_r4.jpg","positive_s1.jpg","positive_s5.jpg"
"positive_012.jpg",0,0.5,0,0,0,0,1,0,0,1,0,0,0.5,0,1,0.5,0,0,0,0,0,0,1,0.5,0.5
"positive_041.jpg",0.5,0,1,0.333333333333333,0,0,0,1,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0
"positive_042.jpg",0,1,0,0,0.5,1,1,0.5,0,0,0,0,0,1,1,0,0.5,0.5,0,0,0,0,0,0,0
"positive_078.jpg",0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,1,0,0.5
"positive_1601.jpg",0,0,0.5,0,0,0,1,0,0.5,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.5
"positive_2306.jpg",0,0,1,0,0,0,0,0.5,1,1,0,0,0,0.5,0,0.5,0,0,1,0,0,0,0,0,0
"positive_2391.jpg",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,1,0
"positive_2501.jpg",0,1,0.5,0,0,0.5,0,0,0,0,0,0.5,1,0.5,1,0,0,0,0,0,0,0,1,0,0.5
"positive_2550.jpg",0,0,0,0,0.5,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,1,0,1,0,0,0
"positive_4574.jpg",1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.5,0,0.5,0,0,0,0
"positive_4598.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_4689.jpg",0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,1,0,0.5,0,0,0,0,1,1,0,0,1,0
"positive_7499.jpg",0.5,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.666666666666667,0
"positive_7660.jpg",0,0,1,0,0.333333333333333,0.5,0,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
"positive_8461.jpg",1,1,1,0,0,0,0,1,0,0,0,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0
"positive_b.jpg",0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0
"positive_c1.jpg",0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,1,0
"positive_d6.jpg",0,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"positive_EF1.jpg",0,0,0,1,0,1,0.333333333333333,0,0,0.5,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
"positive_g6.jpg",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0,1,0,0,0
"positive_hp2.jpg",0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_m9.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"positive_r4.jpg",1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0.666666666666667,1,1,0,0,0,0,1,0.666666666666667
"positive_s1.jpg",0.5,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0,0,0,1,0,1,0,0,0,1,0,0.333333333333333
"positive_s5.jpg",0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0
