"","negative_206.jpg","negative_214.jpg","negative_216.jpg","negative_217.jpg","negative_224.jpg","negative_2750.jpg","negative_2753.jpg","negative_2810.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6821.jpg","negative_8231.jpg","negative_9190.jpg","negative_9440.jpg","negative_9530.bmp","negative_9600.jpg","negative_b7.jpg","negative_c5.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L08.bmp","negative_L24.bmp"
"negative_206.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"negative_214.jpg",1,0,0,0.666666666666667,0.5,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,0,1,1
"negative_216.jpg",0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.5,1,0.333333333333333,0,0.333333333333333
"negative_217.jpg",1,0.666666666666667,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0.333333333333333,0,1,1,1,0,0,0.5,1,1
"negative_224.jpg",0,0.5,0.333333333333333,0,0,0.666666666666667,0,1,0,0,0.5,0,0,1,0,0,0.25,1,0,1,0.666666666666667,0,0,0,1
"negative_2750.jpg",0,0,0,0,0.666666666666667,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_2753.jpg",0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0.125
"negative_2810.jpg",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
"negative_6211.jpg",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.5,1,0,0,0,0,0,0
"negative_6212.jpg",0,0,0,0.5,0,0.5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.25
"negative_6311.jpg",0,0,0,0,0.5,0,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"negative_6821.jpg",0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"negative_8231.jpg",0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0.333333333333333,0,0,0,0,0,1,0,0,0
"negative_9190.jpg",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0
"negative_9440.jpg",0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,0,1,0,0,0,0,1,1
"negative_9530.bmp",0,0,0,0.333333333333333,0,0,0.5,1,0,0,0,0,0.333333333333333,0.5,0,0,0,0.5,0,1,0,0,0,0,0
"negative_9600.jpg",0,0.5,0,0,0.25,0,0,0,1,1,0,0,0,0,0.666666666666667,0,0,1,0,0,0,0,0,0,1
"negative_b7.jpg",0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0.5,1
"negative_c5.jpg",0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"negative_DF1.jpg",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"negative_DP3.jpg",0.5,1,0.5,0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
"negative_I1.jpg",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"negative_L02.bmp",0,0,0.333333333333333,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"negative_L08.bmp",0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0.5,1,0,1,0,0,0,0
"negative_L24.bmp",0,1,0.333333333333333,1,1,0,0.125,0,0,0.25,0,0,0,0,1,0,1,1,0,1,0.5,0,1,0,0
