"","neutral_082.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_121.jpg","neutral_124.jpg","neutral_157.jpg","neutral_191.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_N05.bmp","neutral_N12.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_r.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"neutral_114.jpg",0,0,1,0.5,1,0.333333333333333,0,0,1,1,0.333333333333333,1,0,0.5,0.333333333333333,1,0,1,0,0,0,0,0,0,0
"neutral_116.jpg",0,1,0,1,0,0.666666666666667,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
"neutral_117.jpg",0,0.5,1,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"neutral_121.jpg",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"neutral_124.jpg",0,0.333333333333333,0.666666666666667,0,0,0,1,0.5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.25,0,0
"neutral_157.jpg",0,0,0,1,0,1,0,0,1,0,0.333333333333333,0.333333333333333,1,1,0,1,0,1,1,1,0,0,0,0,0
"neutral_191.jpg",0,0,0,0,1,0.5,0,0,0.333333333333333,0,0,0.5,0,0.5,1,0,0,0,0.5,0,0,0.5,0,0,0
"neutral_199.jpg",0,1,0,0.333333333333333,0,0,1,0.333333333333333,0,0,0,0,0,0.333333333333333,1,0,0.5,1,1,0,0,1,0,0,0
"neutral_2019.jpg",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,1,0,1,0,0
"neutral_2200.jpg",0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_2393.jpg",1,1,1,0,0,1,0.333333333333333,0.5,0,0,0,0,0.25,0.666666666666667,0,0.5,0,0.5,1,0,0,0,0,0,0
"neutral_2442.jpg",0,0,1,0,0,0,1,0,0,1,0,0.25,0,1,0,0.5,0,0,0,0,0,1,0,0,0.5
"neutral_2745.1.jpg",0,0.5,0,0,0,0,1,0.5,0.333333333333333,0,0,0.666666666666667,1,0,0,0,0,0,0,0,0,0.5,0,0,0
"neutral_N05.bmp",0,0.333333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0
"neutral_N12.bmp",0,1,0,1,0,1,1,0,0,0,0,0.5,0.5,0,0.5,0,0,1,1,0,0,0,0,0,0
"neutral_N20.bmp",1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"neutral_N22.bmp",0,1,0,0,0,0,1,0,1,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0
"neutral_N33.bmp",0,0,0,0,0.5,1,1,0.5,1,0,0,1,0,0,1,1,1,0,0,0,0.333333333333333,0,0,0,0
"neutral_N34.bmp",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0
"neutral_n5.jpg",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0
"neutral_NF1.jpg",1,0,1,0,0,0,0,0.5,1,0,0,0,1,0.5,0,0,0,0,0,0.5,0,0,1,0,0
"neutral_r.jpg",0,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5
"neutral_SP2.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_SP3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0
