"","negative_206.jpg","negative_2095.jpg","negative_2122.jpg","negative_216.jpg","negative_217.jpg","negative_228.jpg","negative_2410.bmp","negative_251.jpg","negative_2753.jpg","negative_3180.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_9190.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L08.bmp","negative_L24.bmp","negative_L02.bmp","negative_MF2.jpg"
"negative_206.jpg",0,0,0,1,0,0.5,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"negative_2095.jpg",0,0,1,0.5,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0.5,0,0.5,0,1,1,1,1
"negative_2122.jpg",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_216.jpg",1,0.5,0,0,0.666666666666667,0.666666666666667,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0.5,0,0,0,0,0
"negative_217.jpg",0,0,0,0.666666666666667,0,1,1,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,1,1
"negative_228.jpg",0.5,0,0,0.666666666666667,1,0,0,0.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
"negative_2410.bmp",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0
"negative_251.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,1,0,0
"negative_2753.jpg",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0
"negative_3180.jpg",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0.5,0,0,0
"negative_6212.jpg",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0.5,0,1,0,1,0
"negative_6311.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0.333333333333333,0.666666666666667,0,0
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0.666666666666667,1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,0.666666666666667,0,0.5,0,0,1,0.5,0
"negative_65701_1.jpg",1,0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"negative_9190.jpg",1,0,0,0.333333333333333,0.5,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"negative_9530.bmp",0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.333333333333333,1,1,0
"negative_9600.jpg",0,0.5,0,0,0,1,0,0,1,1,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0.333333333333333,1,0
"negative_AF3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_FP3.jpg",0,0.5,0,0.5,0,0,1,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
"negative_I1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_L08.bmp",0,1,0,0,0,0,0,0,0,0.5,1,0.333333333333333,0,0,0,1,0.333333333333333,0,0,1,0,0,0,0,1
"negative_L24.bmp",0,1,0,0,0,1,0,1,0,0,0,0.666666666666667,0,1,0,0,1,0.333333333333333,0,0,0,0,0,0,1
"negative_L02.bmp",0,1,0,0,1,1,0,0,0.5,0,1,0,0,0.5,0,1,1,1,0,0,0,0,0,0,0
"negative_MF2.jpg",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
