"","negative_2095.jpg","negative_2122.jpg","negative_216.jpg","negative_217.jpg","negative_224.jpg","negative_2750.jpg","negative_2753.jpg","negative_3180.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9440.jpg","negative_9600.jpg","negative_AF3.jpg","negative_c5.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_L02.bmp","negative_L04.bmp","negative_T1.jpg","negative_L29.bmp"
"negative_2095.jpg",0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"negative_2122.jpg",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"negative_216.jpg",0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0,0.333333333333333,0,0,0,0,0,1,0,0,1
"negative_217.jpg",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.5,0,0,1,0
"negative_224.jpg",0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,1,0,0
"negative_2750.jpg",0,0,0,0,0,0,1,0,0.5,0,1,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_2753.jpg",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.5,0,0,1,0,0,0,0
"negative_3180.jpg",0.5,0,0,0,1,0,0,0,0,0,0,0,0.666666666666667,1,0,1,0,0,0,0,0,1,1,0,0
"negative_6510.jpg",0,1,0,0,0,0.5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,1,0
"negative_65701_1.jpg",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0
"negative_8231.jpg",0,0,1,0,0,0.666666666666667,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0.5,0,0
"negative_9041.jpg",0,0,0,0,1,0,1,0.666666666666667,0,0,0,1,0,1,0,0,0,0,0.666666666666667,0,0,0,0,0.5,1
"negative_9190.jpg",0,0,0.5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
"negative_9440.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_9600.jpg",1,0,0.333333333333333,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.5,1,1,0
"negative_AF3.jpg",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_c5.jpg",0,0,0,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0
"negative_DF1.jpg",0,0,0,1,0,0,0,0,0,0,0,1,0.666666666666667,1,0,0,0,0,0,0,0,0,0,1,0
"negative_DP3.jpg",1,0,0,0.25,0,0,0,0,0,0.5,0.5,0,0,1,0,1,0,0.666666666666667,0,0,1,0.5,0.666666666666667,1,0
"negative_FP3.jpg",0,0.5,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"negative_L02.bmp",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0,0
"negative_L04.bmp",0,0,0,0,1,0,0,1,0,0,0,0.5,0,0,0,1,0,0,0,0.666666666666667,0,1,0,0,1
"negative_T1.jpg",0,0,0,1,0,0,0,0,0,1,0,0,0.5,0,0,1,0,0,1,1,0,0,0,0,0
"negative_L29.bmp",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
