"","negative_2095.jpg","negative_2130.jpg","negative_214.jpg","negative_215.jpg","negative_217.jpg","negative_2458.jpg","negative_2750.jpg","negative_6212.jpg","negative_6510.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_DP3.jpg","negative_h11.bmp","negative_I1.jpg","negative_L04.bmp","negative_L08.bmp","negative_L24.bmp","negative_MF2.jpg"
"negative_2095.jpg",0,0,0,0,0.666666666666667,1,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"negative_2130.jpg",0,0,0.5,0,1,0,0.25,1,0,0,0,0.666666666666667,0,0,0,0,0,1,0,0,1,0,0,0.666666666666667,0
"negative_214.jpg",0,0.5,0,1,0,0,0,1,0.5,1,0,0,0,0.5,0,0.333333333333333,0,1,0,1,0,1,1,0.333333333333333,1
"negative_215.jpg",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"negative_217.jpg",0.666666666666667,1,0,1,0,0,0,1,0,0,0,0,1,0.5,0.5,0,0,0.5,0,0,0,0,1,0,0
"negative_2458.jpg",1,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0.5,0,1,0,0,1,0,0,0,0,0,0
"negative_2750.jpg",0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_6212.jpg",0.333333333333333,1,1,0,1,0.5,0,0,1,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,0
"negative_6510.jpg",0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0
"negative_6821.jpg",0,0,1,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,1,1,0.5,0
"negative_8231.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0,0
"negative_9041.jpg",0,0.666666666666667,0,0,0,1,0,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0
"negative_9190.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5
"negative_9530.bmp",0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"negative_9600.jpg",0,0,0,0,0.5,0,0,0,0.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0.5,0,0
"negative_AF3.jpg",0,0,0.333333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"negative_b7.jpg",1,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"negative_c5.jpg",0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.5,0
"negative_DP3.jpg",0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0
"negative_h11.bmp",0,0,1,0,0,0,0,0,0,0.5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0.333333333333333
"negative_I1.jpg",0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
"negative_L04.bmp",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"negative_L08.bmp",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.5,0,0,1,0,0,1,0,0,1,0
"negative_L24.bmp",0,0.666666666666667,0.333333333333333,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,1,1,0,0
"negative_MF2.jpg",1,0,1,1,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0
