"","negative_113.jpg","negative_206.jpg","negative_207.jpg","negative_2122.jpg","negative_2130.jpg","negative_215.jpg","negative_216.jpg","negative_228.jpg","negative_2458.jpg","negative_251.jpg","negative_2753.jpg","negative_3180.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_9041.jpg","negative_9440.jpg","negative_9600.jpg","negative_c5.jpg","negative_h11.bmp","negative_I1.jpg","negative_L24.bmp","negative_L29.bmp","negative_SF4.jpg","negative_T1.jpg"
"negative_113.jpg",0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_206.jpg",1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0.333333333333333,0,1,0,0,0,0,0,0
"negative_207.jpg",1,0,0,1,0,0,0,1,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_2122.jpg",0,0,1,0,0.5,0.5,0,0,1,0,0.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"negative_2130.jpg",0,0,0,0.5,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"negative_215.jpg",0,0,0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1
"negative_216.jpg",0,0,0,0,0,1,0,0.5,0,1,0,0,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0
"negative_228.jpg",0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0.666666666666667,0,0,0,0,0
"negative_2458.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.666666666666667,1,0,0,1,0,1,1,0,0,1,0
"negative_251.jpg",1,0,0.5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0
"negative_2753.jpg",1,0.666666666666667,1,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"negative_3180.jpg",1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.333333333333333,0,0,1,0,0,0,0,0,0
"negative_6212.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,0,0.5,0.5,0,0,0,0,0.333333333333333,0
"negative_6311.jpg",0,0,0,1,0,0,0,0,0.666666666666667,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0,1,1,1,0
"negative_6510.jpg",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"negative_9041.jpg",0,0.333333333333333,0,0,0,0,0,0,0,0,1,0.333333333333333,1,0,0,0,0,0,0.5,0.5,0.5,1,1,0,0
"negative_9440.jpg",0,0.333333333333333,0,0,0,0,1,1,0,0,0,0,0,0.333333333333333,0,0,0,1,1,1,0,0,0,0,0
"negative_9600.jpg",0,0,0,0,0,0,0,1,1,1,0,0,0.5,0,0,0,1,0,0.5,0,0,0.666666666666667,0,0,0
"negative_c5.jpg",0,1,0,0,0,0,0,1,0,0.666666666666667,0,1,0.5,0,0,0.5,1,0.5,0,0,0,0,0.5,0,0
"negative_h11.bmp",0,0,0,1,0,0,0.5,0.666666666666667,1,0,0,0,0,0,0,0.5,1,0,0,0,0.5,0,0,1,0
"negative_I1.jpg",0,0,0,1,1,0,0.5,0,1,0,0,0,0,0,1,0.5,0,0,0,0.5,0,0,0,1,1
"negative_L24.bmp",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.666666666666667,0,0,0,0,0,0,0.5
"negative_L29.bmp",1,0,1,0,0,0.5,0,0,0,0,1,0,0,1,0,1,0,0,0.5,0,0,0,0,0,1
"negative_SF4.jpg",0,0,0,0,1,0,0,0,1,0,0,0,0.333333333333333,1,0,0,0,0,0,1,1,0,0,0,1
"negative_T1.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0
