"","positive_015.jpg","positive_042.jpg","positive_047.jpg","positive_073.jpg","positive_078.jpg","positive_1601.jpg","positive_2025.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_2395.jpg","positive_4574.jpg","positive_5830.jpg","positive_7499.jpg","positive_7502.jpg","positive_8120.jpg","positive_8470.jpg","positive_EF1.jpg","positive_g6.jpg","positive_m9.jpg","positive_p1.jpg","positive_s1.jpg","positive_s2.jpg","positive_s5.jpg"
"positive_015.jpg",0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0.333333333333333,1,1,0,0.5,0,0,0,1,0,0.666666666666667,1,1
"positive_042.jpg",0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5
"positive_047.jpg",0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.5,0,0
"positive_073.jpg",1,0,0,0,0,1,0,0,0,0,1,0,0.25,0,0,0,0,0,0.5,1,0,1,1,0,1
"positive_078.jpg",0,0,0,0,0,1,0,0,0,0,0,0,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0
"positive_1601.jpg",0,0,0.666666666666667,1,1,0,0,0,0,0,0.5,0,0.5,1,0,0.666666666666667,1,0,0,1,0,1,1,0,0
"positive_2025.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"positive_2217.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"positive_2300.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2304.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"positive_2306.jpg",0,0,0,1,0,0.5,0,0,0,0,0,0,0.666666666666667,0,1,0,0,1,0,0,0,0,1,0.5,0
"positive_2395.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0
"positive_4574.jpg",0.333333333333333,0,1,0.25,1,0.5,0,0,0.5,0,0.666666666666667,0,0,1,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0
"positive_5830.jpg",1,0.5,0,0,0.5,1,0,0,0,0,0,0,1,0,0.75,0,0,0,0,1,0,1,1,0,1
"positive_7499.jpg",1,0,1,0,0.5,0,0,0,0,0,1,0.333333333333333,0,0.75,0,0.5,0,1,0,0.5,0,0,0,1,0
"positive_7502.jpg",0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0.5,0,0.333333333333333,0,0,0,0,0.5,0.5,0,0
"positive_8120.jpg",0.5,0,0,0,1,1,0,0,0,1,0,0,0.5,0,0,0.333333333333333,0,1,0,0,1,0,0.333333333333333,0,0
"positive_8470.jpg",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0.666666666666667,0,0,1
"positive_EF1.jpg",0,0,0,0.5,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0
"positive_g6.jpg",0,0,0,1,0,1,0,0,0,0,0,0,0.5,1,0.5,0,0,1,0,0,0,0,0,1,1
"positive_m9.jpg",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"positive_p1.jpg",0,0,0,1,0,1,0,0,0,0,0,0,0.5,1,0,0.5,0,0.666666666666667,0,0,1,0,1,0.5,0
"positive_s1.jpg",0.666666666666667,0,0.5,1,0,1,0,0,0,0,1,0,0,1,0,0.5,0.333333333333333,0,0.5,0,0,1,0,0.5,1
"positive_s2.jpg",1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1,0,0.5,0.5,0,0
"positive_s5.jpg",1,0.5,0,1,0,0,0,0.5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
