"","negative_207.jpg","negative_2095.jpg","negative_215.jpg","negative_217.jpg","negative_228.jpg","negative_2458.jpg","negative_2810.jpg","negative_3180.jpg","negative_6211.jpg","negative_6212.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_8231.jpg","negative_9190.jpg","negative_9421.jpg","negative_9530.bmp","negative_AF3.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_T1.jpg"
"negative_207.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,1,1,0,0,0,0
"negative_2095.jpg",1,0,0,0,0,0.333333333333333,0,1,0,0.5,0,0,0,0.25,1,0,0.5,0,0,1,0,0,1,0.666666666666667,0
"negative_215.jpg",0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,1,0,1,0,1,0,0,0.5,0,0,0,1,0,0,0,0.333333333333333
"negative_217.jpg",0,0,0.666666666666667,0,0,0,0,0,0,0,0,1,0,0.5,1,1,0,0,0,0,0.25,0,0,0,0
"negative_228.jpg",0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"negative_2458.jpg",0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.75,0,0,0
"negative_2810.jpg",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"negative_3180.jpg",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"negative_6211.jpg",0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0,0.5
"negative_6212.jpg",0,0.5,1,0,1,0.5,0,0,0,0,0.5,0,0,0,1,0,1,0,1,0,0,0.666666666666667,0,0,0.333333333333333
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,1
"negative_6555.jpg",0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"negative_65701_1.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0.5,1,0,0,0,0
"negative_8231.jpg",0.5,0.25,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"negative_9190.jpg",0.5,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,1,0,1,0,0
"negative_9421.jpg",0,0,0,1,0,0.5,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"negative_9530.bmp",0,0.5,0.5,0,1,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,1,0,0,1,0,0
"negative_AF3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_DF1.jpg",1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"negative_DP3.jpg",1,1,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,1,0,1,0,1,0,0,1,0
"negative_FP3.jpg",1,0,1,0.25,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0,1,0,0,1,0.5,0.5
"negative_I1.jpg",0,0,0,0,0,0.75,1,0,1,0.666666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_L02.bmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"negative_L04.bmp",0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0
"negative_T1.jpg",0,0,0.333333333333333,0,0,0,0,0,0.5,0.333333333333333,1,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0
