"","positive_012.jpg","positive_015.jpg","positive_041.jpg","positive_056.jpg","positive_078.jpg","positive_2025.jpg","positive_2217.jpg","positive_2304.jpg","positive_2391.jpg","positive_2501.jpg","positive_2550.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_8120.jpg","positive_8300.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_S22.jpg","positive_s5.jpg","positive_t1.jpg"
"positive_012.jpg",0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,1,0.5,0,0.5,0,1,0,0.5,0.5,0.5,0
"positive_015.jpg",0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0
"positive_041.jpg",1,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.666666666666667,0,1,1,0,0,0,1,0,0,0
"positive_056.jpg",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"positive_078.jpg",1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.666666666666667,0,0,1,0,0,0,0,0
"positive_2025.jpg",0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,1,0,0,0,1,0,0.5
"positive_2217.jpg",0,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"positive_2304.jpg",0.5,0,0,0,0,0,1,0,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0
"positive_2391.jpg",0,0,0,0,0.5,0,0,0,0,1,0,1,0.5,0,0,1,1,0,0,1,0,0,0,0,0
"positive_2501.jpg",0,0,0,0,0,1,0,0.5,1,0,1,0,1,1,0,0.5,0.25,0,1,0,0.5,0,0,0,0
"positive_2550.jpg",0,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"positive_5830.jpg",0,0,0,1,0,0.5,0,0,1,0,1,0,0,0,0.5,0,0,0,1,0,0,0,0,0,1
"positive_5831.jpg",0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0
"positive_7325.jpg",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"positive_8120.jpg",1,0,0.666666666666667,0,0,0,0,0,0,0,0,0.5,1,1,0,0.5,0,1,0,1,0,0,0,0,0
"positive_8300.jpg",0.5,0,0,1,0,0,0,0,1,0.5,0,0,1,0,0.5,0,0.666666666666667,0,0,0.5,0,0.666666666666667,1,0,0
"positive_8461.jpg",0,0.5,1,1,0.666666666666667,0,0,0,1,0.25,1,0,0.5,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0
"positive_8470.jpg",0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0.5,0
"positive_b.jpg",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"positive_c1.jpg",1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0,0
"positive_g6.jpg",0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_hp2.jpg",0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0.5,1
"positive_S22.jpg",0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.333333333333333,0
"positive_s5.jpg",0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.333333333333333,0,0
"positive_t1.jpg",0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
