"","negative_113.jpg","negative_2122.jpg","negative_214.jpg","negative_216.jpg","negative_228.jpg","negative_2410.bmp","negative_2750.jpg","negative_2753.jpg","negative_2810.jpg","negative_6211.jpg","negative_6212.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_9190.jpg","negative_9421.jpg","negative_9530.bmp","negative_b7.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_h11.bmp","negative_L08.bmp","negative_L29.bmp","negative_MF2.jpg","negative_T1.jpg","negative_SF4.jpg"
"negative_113.jpg",0,0,0,0,0,0.5,0.5,0,0,1,0.5,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0
"negative_2122.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_214.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
"negative_216.jpg",0,0,0,0,1,0,0,0,1,0,0,0,0,0.666666666666667,0,1,0,0,0,1,0,1,0.5,1,1
"negative_228.jpg",0,0,0,1,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,1,1,1,1,0,0
"negative_2410.bmp",0.5,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.5,0,0,0,0,1,1,0.5,0,0,0,0.2,0
"negative_2750.jpg",0.5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0.5,0
"negative_2753.jpg",0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2810.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0
"negative_6211.jpg",1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0.5,1,0.5,0,1,0,0,1,0.5,0
"negative_6212.jpg",0.5,0,0,0,1,0.333333333333333,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.5,0.333333333333333,0,0
"negative_6510.jpg",0,1,0,0,0.333333333333333,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"negative_65701_1.jpg",0.5,0,1,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,0,0.5,0
"negative_9190.jpg",1,0,0,0.666666666666667,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.5,0,0
"negative_9421.jpg",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"negative_9530.bmp",0,0,0,1,0,0,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"negative_b7.jpg",0,0,0,0,0,0,0,0,0.5,1,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0
"negative_DF1.jpg",1,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"negative_DP3.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"negative_h11.bmp",0,0,1,1,1,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,1,0.5,0
"negative_L08.bmp",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.5,1,0,0,0,0.333333333333333,0,0,0,1,0
"negative_L29.bmp",0,0,1,1,1,0,0,0,0,0,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,1
"negative_MF2.jpg",0,0,0,0.5,1,0,1,0,0,1,0.333333333333333,0,0,0.5,0.5,0,0,1,0,1,0,0,0,0.333333333333333,0
"negative_T1.jpg",0,0,1,1,0,0.2,0.5,0,0,0.5,0,1,0.5,0,0,0,0,0,0,0.5,1,0,0.333333333333333,0,0
"negative_SF4.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
