"","negative_113.jpg","negative_2130.jpg","negative_224.jpg","negative_228.jpg","negative_3180.jpg","negative_3280.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_6821.jpg","negative_9041.jpg","negative_9190.jpg","negative_9421.jpg","negative_9530.bmp","negative_9600.jpg","negative_c5.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L08.bmp","negative_L24.bmp","negative_MF2.jpg","negative_SF4.jpg"
"negative_113.jpg",0,0,1,0,0,0,0,0,0,0.5,0.25,0,1,0,0,0,0,1,0.6,0,0.666666666666667,0,0,0,0
"negative_2130.jpg",0,0,0,0,0,0.5,0,1,1,0,1,0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"negative_224.jpg",1,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0,1,1,0,0,0,0,0,0,0
"negative_228.jpg",0,0,0,0,0,0,1,0,0,1,0.5,0,0,0,1,0,0.333333333333333,0.5,1,0,1,0,1,0,0.5
"negative_3180.jpg",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"negative_3280.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0.5
"negative_6212.jpg",0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.5,0,0,1,0,0.25,0
"negative_6311.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0.5
"negative_6510.jpg",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"negative_6555.jpg",0.5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"negative_6821.jpg",0.25,1,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.666666666666667,0.5,0,0,0,0,0
"negative_9041.jpg",0,0.333333333333333,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"negative_9190.jpg",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0.666666666666667,0.333333333333333,0,0.5,0.5
"negative_9421.jpg",0,0,1,0,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"negative_9530.bmp",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0.5,0,0,0,0.666666666666667,0.5,0
"negative_9600.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,0,1,0,0,0
"negative_c5.jpg",0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,0,1,1,0
"negative_DF1.jpg",1,0,1,0.5,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5
"negative_FP3.jpg",0.6,0,0,1,0,0,0.5,0,0,0.5,0.666666666666667,0,0.5,0,0.5,1,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"negative_I1.jpg",0,0.5,0,0,0,1,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0
"negative_L02.bmp",0.666666666666667,0,0,1,0,0,0,0.5,0,0,0,0,0.666666666666667,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0
"negative_L08.bmp",0,0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,1,0,1,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,1
"negative_L24.bmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0
"negative_MF2.jpg",0,0,0,0,1,0,0.25,0,0,0,0,0.5,0.5,0,0.5,0,1,0,0,0,0,0.333333333333333,0,0,0
"negative_SF4.jpg",0,0,0,0.5,0,0.5,0,0.5,1,0,0,0,0.5,0,0,0,0,0.5,0,0,0,1,0,0,0
