"","positive_032.jpg","positive_041.jpg","positive_047.jpg","positive_078.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2217.jpg","positive_2306.jpg","positive_2391.jpg","positive_2501.jpg","positive_5830.jpg","positive_5831.jpg","positive_7499.jpg","positive_8300.jpg","positive_8461.jpg","positive_8470.jpg","positive_c1.jpg","positive_EF1.jpg","positive_g6.jpg","positive_m9.jpg","positive_S22.jpg","positive_r4.jpg","positive_s5.jpg","positive_y5.jpg"
"positive_032.jpg",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.666666666666667,0,0,0,1,0.5,0,0,0
"positive_041.jpg",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"positive_047.jpg",0,0,0,0,0,0,0,0,0.666666666666667,1,0,1,0,0,0,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0
"positive_078.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.666666666666667,1,0,0,0,1,0,0
"positive_1601.jpg",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,1,1
"positive_2002.jpg",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0
"positive_2025.jpg",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0
"positive_2217.jpg",1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
"positive_2306.jpg",0,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,0.333333333333333,0
"positive_2391.jpg",1,0,1,0,1,1,0,1,0.333333333333333,0,1,0.5,1,0,1,0,0,0.25,0,0,0,0,0,1,0.5
"positive_2501.jpg",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0,0
"positive_5830.jpg",0,0,1,0,0,1,0,0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"positive_5831.jpg",0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0.5,0,0.333333333333333,0.5
"positive_7499.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"positive_8300.jpg",0,0,0,0.5,0,0.333333333333333,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0.5,0
"positive_8461.jpg",1,0,0.666666666666667,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
"positive_8470.jpg",0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,1,0,0,0,0,0,1
"positive_c1.jpg",0,1,0,0.666666666666667,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"positive_EF1.jpg",0,0,0,1,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"positive_g6.jpg",0,0,0.333333333333333,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"positive_m9.jpg",1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0
"positive_S22.jpg",0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.333333333333333,0,0,0,0,0,1,0,0,1,0
"positive_r4.jpg",0,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_s5.jpg",0,1,0,0,1,0,0.5,0,0.333333333333333,1,0,0,0.333333333333333,0,0.5,0,0,0,1,0,0.5,1,0,0,0
"positive_y5.jpg",0,0,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,1,0,0,1,0,0,0,0,0
