"","neutral_103.jpg","neutral_104.jpg","neutral_121.jpg","neutral_156.jpg","neutral_169.jpg","neutral_186.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2215.jpg","neutral_2393.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_D.jpg","neutral_N13.bmp","neutral_N17.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_N34.bmp","neutral_S5.jpg","neutral_n5.jpg","neutral_SP2.jpg"
"neutral_103.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_104.jpg",0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,1
"neutral_121.jpg",0,0,0,0,0,0.5,0,1,0,0,1,0,0,0,0,1,0,0.5,0,1,1,0,0,0,0
"neutral_156.jpg",0,0,0,0,1,0.5,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"neutral_169.jpg",0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.666666666666667,0,0,0,0,0
"neutral_186.jpg",0,1,0.5,0.5,1,0,1,0.333333333333333,0,0,0,0,1,1,1,0,0,0,0,0.5,0,0,0,0.5,0.333333333333333
"neutral_194.jpg",0,0,0,0.5,0,1,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.333333333333333,1,0,0,0,1
"neutral_199.jpg",0,0,1,0,0,0.333333333333333,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0.5,0,0,0
"neutral_2019.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"neutral_2215.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2393.jpg",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"neutral_2495.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.666666666666667
"neutral_2745.1.jpg",0,1,0,0,1,1,0.5,0,0,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0,0,1,0,0,0,0,0
"neutral_2850.jpg",0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"neutral_D.jpg",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0
"neutral_N13.bmp",0,0.5,1,0,0,0,1,0,0,0,1,0,0.333333333333333,0,0.5,0,1,1,0,0.5,1,0,0,0,0.5
"neutral_N17.bmp",0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0.5,1,0,0.5,0,0,1,0.666666666666667,0,0,0
"neutral_N19.bmp",0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,0,1,1,1,0.5,0,1
"neutral_N20.bmp",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0,0,0,0
"neutral_N22.bmp",0,0,1,0,0.666666666666667,0.5,0.333333333333333,0,0,0,0,0,1,0,0.5,0.5,0,1,0.666666666666667,0,0,1,0,0,0
"neutral_N31.bmp",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
"neutral_N34.bmp",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.666666666666667,1,0,1,0,0,0.5,0,0
"neutral_S5.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0
"neutral_n5.jpg",0,0,0,0,0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"neutral_SP2.jpg",0,1,0,1,0,0.333333333333333,1,0,1,0,0,0.666666666666667,0,0,0,0.5,0,1,0,0,0,0,0,0,0
