"","positive_012.jpg","positive_015.jpg","positive_047.jpg","positive_056.jpg","positive_073.jpg","positive_2002.jpg","positive_2034.jpg","positive_2217.jpg","positive_2395.jpg","positive_2550.jpg","positive_4574.jpg","positive_4689.jpg","positive_7325.jpg","positive_8120.jpg","positive_8470.jpg","positive_c1.jpg","positive_EF1.jpg","positive_g6.jpg","positive_p1.jpg","positive_r4.jpg","positive_s1.jpg","positive_s2.jpg","positive_t1.jpg","positive_s5.jpg","positive_y5.jpg"
"positive_012.jpg",0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0.666666666666667,0,0.5,0
"positive_015.jpg",0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0,1,0,1,1,0,0,0,1,0
"positive_047.jpg",1,0,0,0,0,0,0,0,0,0.5,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1
"positive_056.jpg",0,1,0,0,0.666666666666667,0,0,0,0,1,1,0,0,0,1,0,0,0,0.5,1,0,0.666666666666667,0,1,1
"positive_073.jpg",0,1,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"positive_2002.jpg",0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"positive_2034.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.666666666666667,0.5,0,0,0,0,0,0,0,0.5,0,0
"positive_2217.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0
"positive_2395.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0.5,0,0,0,0,0.5,0
"positive_2550.jpg",1,0,0.5,1,0,1,0,0.5,0,0,1,0.333333333333333,0.5,0.25,0,0,0,0,0,0,0,0,0.333333333333333,0,0
"positive_4574.jpg",1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0.5,0.666666666666667,0,0,1,0,0,0
"positive_4689.jpg",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"positive_7325.jpg",1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"positive_8120.jpg",1,0,0.333333333333333,0,0,1,0.666666666666667,0,0,0.25,0,0,0,0,1,0,1,0,0.333333333333333,0,0.2,0,0,1,0.666666666666667
"positive_8470.jpg",1,0,0,1,0,0,0.5,0,0.666666666666667,0,1,0,0,1,0,0.5,0.5,0,0,0.5,0,0,1,0,0
"positive_c1.jpg",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0.666666666666667,1,0,0,0,0,0
"positive_EF1.jpg",0,1,0,0,0,0,0,0.5,0,0,0,0,1,1,0.5,0,0,0,0.333333333333333,0,0,1,0,0,0
"positive_g6.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"positive_p1.jpg",1,1,0,0.5,0,0,0,0,0.5,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0.5
"positive_r4.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0,0,0,1,1,0.5
"positive_s1.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.5
"positive_s2.jpg",0.666666666666667,0,0,0.666666666666667,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0
"positive_t1.jpg",0,0,0,0,0,1,0.5,0,0,0.333333333333333,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
"positive_s5.jpg",0.5,1,0,1,1,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0.333333333333333,0,0,0
"positive_y5.jpg",0,0,1,1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,1,0.5,0.5,0.5,0,1,0,0
