"","positive_012.jpg","positive_042.jpg","positive_056.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_2395.jpg","positive_2501.jpg","positive_4574.jpg","positive_5830.jpg","positive_5831.jpg","positive_7499.jpg","positive_7502.jpg","positive_7660.jpg","positive_8300.jpg","positive_8470.jpg","positive_c1.jpg","positive_d6.jpg","positive_g6.jpg","positive_m9.jpg","positive_s1.jpg","positive_s2.jpg","positive_s5.jpg","positive_y5.jpg"
"positive_012.jpg",0,1,0,0,0,0,1,0,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0.5,1,1,0,0
"positive_042.jpg",1,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"positive_056.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0.666666666666667,0,0,0,0,0,1,0,0,0
"positive_2217.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"positive_2300.jpg",0,0,0,0,0,0.5,0,0.333333333333333,0,0,0,0,0,0.5,0.5,0.5,0,1,0.333333333333333,0,0,0,0,1,0
"positive_2304.jpg",0,0,0,1,0.5,0,0,1,0.5,0,0.5,0.5,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0.5,0
"positive_2306.jpg",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,1,0,0,0,1,0,0,1,1,1
"positive_2395.jpg",0,1,0,0,0.333333333333333,1,1,0,1,1,0,0,0,0,0,0.666666666666667,0,0,0.5,0,0,0,1,0.5,0
"positive_2501.jpg",0.5,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0.666666666666667,0.5,0,0.5,0,0.5,0.5
"positive_4574.jpg",0.5,0,0,0,0,0,0,1,0,0,0,1,0,1,0.333333333333333,0,0.5,0,0,0,0,1,0,0,0
"positive_5830.jpg",0,0.333333333333333,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"positive_5831.jpg",0,0,0,0,0,0.5,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5
"positive_7499.jpg",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,1,0,0
"positive_7502.jpg",1,0,1,1,0.5,0,0,0,0,1,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0
"positive_7660.jpg",0,0,1,0,0.5,0,0.5,0,0,0.333333333333333,0,1,1,0,0,0.666666666666667,1,0,1,0,0,0,0,0,0
"positive_8300.jpg",0,1,0.666666666666667,0,0.5,0,1,0.666666666666667,0,0,0,0,0.5,0,0.666666666666667,0,1,0,0.333333333333333,0,0,1,0,0,0
"positive_8470.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,1,0,1,0,0,0,0.5,0,0,0
"positive_c1.jpg",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"positive_d6.jpg",0,0,0,0,0.333333333333333,0.666666666666667,0,0.5,0.666666666666667,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,1,1,0
"positive_g6.jpg",0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_m9.jpg",0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"positive_s1.jpg",1,1,1,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0,0
"positive_s2.jpg",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.5,0
"positive_s5.jpg",0,0,0,0,1,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0
"positive_y5.jpg",0,0,0,0,0,0,1,0,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0
