"","positive_012.jpg","positive_015.jpg","positive_032.jpg","positive_056.jpg","positive_073.jpg","positive_1601.jpg","positive_2034.jpg","positive_2300.jpg","positive_2304.jpg","positive_2501.jpg","positive_2550.jpg","positive_4689.jpg","positive_5830.jpg","positive_7325.jpg","positive_7502.jpg","positive_7660.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_EF1.jpg","positive_hp2.jpg","positive_p1.jpg","positive_s1.jpg","positive_s2.jpg","positive_S22.jpg"
"positive_012.jpg",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"positive_015.jpg",0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"positive_032.jpg",0,0,0,1,1,0,0,0,0,0,1,0,0.333333333333333,1,0,0,0,0,0,0,1,0.5,0,0,0
"positive_056.jpg",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.333333333333333,0.5,0,1,0,0.666666666666667
"positive_073.jpg",0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,0
"positive_1601.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,1,1,0,1,0,0
"positive_2034.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0.5
"positive_2300.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0,0,1
"positive_2304.jpg",0,0,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2501.jpg",0.333333333333333,1,0,0,0,0,0,0,1,0,0,0,0.5,0.333333333333333,0,0,0,1,0,0,0,1,0,0,0
"positive_2550.jpg",0,0,1,0,0,0,0,0,1,0,0,0.5,0.666666666666667,0,0,0,0,0,0,0,0,1,0,0,0
"positive_4689.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_5830.jpg",0,0,0.333333333333333,1,0,0,0,0,0,0.5,0.666666666666667,0,0,0,1,0,1,0,0.5,0.5,0,0,0,0,0
"positive_7325.jpg",1,0,1,0,0,0,1,1,0,0.333333333333333,0,0,0,0,0,0,0,1,0,1,0.5,0,0,1,0.5
"positive_7502.jpg",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
"positive_7660.jpg",0,1,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.5,1,0
"positive_8470.jpg",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.5,0,0,0,0,1
"positive_b.jpg",0,0,0,1,0,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0
"positive_c1.jpg",0,1,0,0,0,1,1,0,0,0,0,0,0.5,0,1,1,1,0,0,0.5,0,0,0,0,0
"positive_EF1.jpg",0,0,0,0.333333333333333,0,1,0,1,0,0,0,0,0.5,1,1,0,0.5,0,0.5,0,0,0,0,0,0.333333333333333
"positive_hp2.jpg",1,0,1,0.5,0.5,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0
"positive_p1.jpg",0,1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_s1.jpg",1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0
"positive_s2.jpg",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,0,0,0
"positive_S22.jpg",1,0,0,0.666666666666667,0,0,0.5,1,0,0,0,0,0,0.5,0,0,1,0,0,0.333333333333333,0,0,0,0,0
