"","negative_113.jpg","negative_206.jpg","negative_214.jpg","negative_215.jpg","negative_228.jpg","negative_251.jpg","negative_2753.jpg","negative_2810.jpg","negative_3280.jpg","negative_6212.jpg","negative_6510.jpg","negative_6555.jpg","negative_9190.jpg","negative_9421.jpg","negative_9440.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_I1.jpg","negative_L02.bmp","negative_L29.bmp","negative_MF2.jpg","negative_L24.bmp","negative_T1.jpg"
"negative_113.jpg",0,1,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0.333333333333333,0,0,0
"negative_206.jpg",1,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,1,1
"negative_214.jpg",0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"negative_215.jpg",0,0,1,0,1,0.5,1,0,0,1,0,0,0,0,0,1,0.5,0,0,0,0,0.666666666666667,0,0,1
"negative_228.jpg",0,0,1,1,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"negative_251.jpg",0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,1,1,0,1,0
"negative_2753.jpg",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"negative_2810.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0,1,0,0,0,0,0.5
"negative_3280.jpg",0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0.333333333333333,0,0,0
"negative_6212.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"negative_6510.jpg",0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,1,0,0,1,0,0.666666666666667,0,0,0,0,0.6
"negative_6555.jpg",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0.333333333333333,0,0,0,0,0
"negative_9190.jpg",0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0
"negative_9421.jpg",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.5,0,0,0,0.5,0,0,1,0
"negative_9440.jpg",0,0,1,0,0,0,0,0.333333333333333,0,0,1,1,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0
"negative_9530.bmp",0,0.333333333333333,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
"negative_9600.jpg",0,0.333333333333333,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0.5,0,1,0.5
"negative_AF3.jpg",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_I1.jpg",0.5,0,0,0,0,0,0,1,1,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1
"negative_L02.bmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,1,1,0
"negative_L29.bmp",0.333333333333333,0,0,0.666666666666667,1,1,1,0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0
"negative_MF2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"negative_L24.bmp",0,1,0,0,0,1,0,0,0,0,0,0,0.5,1,0.5,1,1,0,0,0,1,0,0,0,0
"negative_T1.jpg",0,1,1,1,0,0,1,0.5,0,0,0.6,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0
