"","neutral_082.jpg","neutral_106.jpg","neutral_114.jpg","neutral_124.jpg","neutral_156.jpg","neutral_157.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_r.jpg"
"neutral_082.jpg",0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"neutral_106.jpg",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"neutral_114.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.333333333333333,0.5,0,1,1,0,0.5,0,0,1,0
"neutral_124.jpg",1,1,0,0,1,0,0,0,0,0,1,0,1,0,0.5,1,1,1,0,1,0,0,0,0,0
"neutral_156.jpg",1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
"neutral_157.jpg",0,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"neutral_194.jpg",0.5,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0
"neutral_2019.jpg",0,1,0,0,0,0,0,0,1,1,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_2200.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,0.5
"neutral_2305.jpg",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667
"neutral_2393.jpg",0,0,0,1,1,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0,0,0
"neutral_2495.jpg",0,0,0.5,0,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"neutral_2745.1.jpg",0,0,0,1,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0,0
"neutral_2850.jpg",0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0.5
"neutral_N04.bmp",0,1,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1
"neutral_N05.bmp",1,0,0.5,1,1,0,0.5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"neutral_N13.bmp",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"neutral_N17.bmp",1,0,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,1,0,1,0,0,0
"neutral_N19.bmp",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"neutral_N20.bmp",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"neutral_N22.bmp",1,0,0.5,0,1,0,1,0,0.333333333333333,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"neutral_N31.bmp",0,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"neutral_n5.jpg",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,1
"neutral_NF1.jpg",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"neutral_r.jpg",0,0,0,0,0,0,0,0,0.5,0.666666666666667,0,0,0,0.5,1,0,0,0,0,0,0,0,1,0.666666666666667,0
