"","neutral_082.jpg","neutral_106.jpg","neutral_114.jpg","neutral_116.jpg","neutral_121.jpg","neutral_186.jpg","neutral_194.jpg","neutral_2200.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N07.bmp","neutral_N13.bmp","neutral_N20.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_NF4.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP2.jpg"
"neutral_082.jpg",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_106.jpg",0,0,1,0,0,0,0,0,0,0,0.5,0,0,0.333333333333333,0,0,0,0,1,0,1,0.5,0,1,0
"neutral_114.jpg",0,1,0,0,1,0,0.5,0,0,1,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0,0
"neutral_116.jpg",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,1
"neutral_121.jpg",0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.333333333333333,0,0
"neutral_186.jpg",0,0,0,0,0,0,0.5,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0
"neutral_194.jpg",0,0,0.5,1,0,0.5,0,0,1,0,0,1,1,0,0.5,0,1,0,0,0,0,0,0,1,0
"neutral_2200.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1,0,0
"neutral_2393.jpg",1,0,0,0,1,0,1,0,0,0,0,0.5,0.666666666666667,0,1,0,0,0,0,1,0,0,0,1,0
"neutral_2394.jpg",1,0,1,1,0,0.333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_2495.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,1,0,0.333333333333333,0
"neutral_2745.1.jpg",0,0,0,0,1,0,1,0,0.5,0,0.5,0,0.5,0,0,0.666666666666667,0,0,0.5,1,0,0,0,0,0
"neutral_2850.jpg",0,0,0,0,0,0,1,0,0.666666666666667,1,0,0.5,0,0,0,0,0,1,0,0.333333333333333,0.5,0,0,0,1
"neutral_N01.bmp",0,0.333333333333333,0,0,0,0,0,0.5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"neutral_N04.bmp",1,0,1,0,0,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"neutral_N07.bmp",0,0,1,0,1,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,1,0,0,0.5,1
"neutral_N13.bmp",0,0,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_N20.bmp",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.5
"neutral_N31.bmp",0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0
"neutral_N33.bmp",0,0,0,0,1,0,0,0.5,1,0,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0
"neutral_N34.bmp",0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0,0,0,0
"neutral_NF4.jpg",0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_r.jpg",0,0,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_S5.jpg",0,1,0,0.5,0,0.5,1,0,1,0,0.333333333333333,0,0,1,0,0.5,0,0,0,1,0,0,0,0,1
"neutral_SP2.jpg",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0,0,0,0,1,0
