"","negative_206.jpg","negative_2122.jpg","negative_214.jpg","negative_217.jpg","negative_2458.jpg","negative_251.jpg","negative_2753.jpg","negative_6311.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9440.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_c5.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_L08.bmp","negative_SF4.jpg","negative_MF2.jpg"
"negative_206.jpg",0,0,0,0,0,1,0.5,0,0,1,0,0.5,1,0,0,0,0.5,0,1,0,1,1,0.142857142857143,0,0
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"negative_214.jpg",0,0,0,0,1,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
"negative_217.jpg",0,0,0,0,1,1,0,0.5,0,0,0,1,0,1,1,0,0.333333333333333,0,0,0,0,0,0,1,0
"negative_2458.jpg",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"negative_251.jpg",1,0,1,1,0,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.666666666666667
"negative_2753.jpg",0.5,0,0.5,0,0,0.5,0,1,0,1,0,0,0,0.5,0,0,0,0,0.666666666666667,0,0,0,0,0,0
"negative_6311.jpg",0,0,0,0.5,0,0.5,1,0,0,1,0,1,0.5,0,0,0,0,1,0,0,0,1,0,0,0
"negative_6555.jpg",0,0,1,0,0,0,0,0,0,1,0,0,0.5,0.333333333333333,0,0,0,0,0,1,0,0,1,0,1
"negative_65701_1.jpg",1,0,1,0,0,0,1,1,1,0,0,0,0.5,0.5,0,0,0.5,0,0,0,1,0,0,0,0
"negative_6821.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0
"negative_8231.jpg",0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0.5,0,0,0,0,0,0.25,0,0,0,0
"negative_9440.jpg",1,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
"negative_9530.bmp",0,0,0,1,0,0,0.5,0,0.333333333333333,0.5,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
"negative_9600.jpg",0,0,0,1,0,1,0,0,0,0,0.5,0.5,1,1,0,0,0,1,0,0,1,0,0,0,0
"negative_AF3.jpg",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_c5.jpg",0.5,0,0,0.333333333333333,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0.5,0.5,0,0,1,0,0,0
"negative_DF1.jpg",0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0.5,0,1,0,1,1,0,0,1
"negative_FP3.jpg",1,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0,0,0,0,0
"negative_I1.jpg",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_L02.bmp",1,0,0,0,0,0,0,0,0,1,0,0.25,0,0,1,0,0,1,0,0,0,0,0,0,1
"negative_L04.bmp",1,0,0.5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0.333333333333333,0,0
"negative_L08.bmp",0.142857142857143,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.333333333333333,0,0,0
"negative_SF4.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_MF2.jpg",0,0,1,0,0,0.666666666666667,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
