"","positive_012.jpg","positive_042.jpg","positive_056.jpg","positive_073.jpg","positive_1601.jpg","positive_2002.jpg","positive_2391.jpg","positive_4574.jpg","positive_4598.jpg","positive_4689.jpg","positive_5830.jpg","positive_5831.jpg","positive_7660.jpg","positive_8300.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_EF1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_m9.jpg","positive_S22.jpg","positive_t1.jpg","positive_s2.jpg","positive_y5.jpg"
"positive_012.jpg",0,0.5,0,0,1,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,1,1,0,0,0.5,0
"positive_042.jpg",0.5,0,1,0,1,0,0,0,1,0,0.5,0.6,1,0,0,0,0,0,0,0,0,1,0,1,0
"positive_056.jpg",0,1,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,1,0,0.5,0
"positive_073.jpg",0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0.5,0,1,0.5,1,0,0,0
"positive_1601.jpg",1,1,0,0,0,0.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"positive_2002.jpg",1,0,0,0,0.5,0,0,1,0,1,0,1,0.5,0,0.333333333333333,0.4,0.5,0,0.333333333333333,0,0,0,0,0,0.333333333333333
"positive_2391.jpg",1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0.5,0,0.5,0
"positive_4574.jpg",0,0,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0,0,0,1,0,0,0,1,0,0,0
"positive_4598.jpg",0,1,0,1,0,0,0,0,0,0,0,1,0.333333333333333,0.5,0,0.5,0,0,0,0,0,0.333333333333333,0,0,0
"positive_4689.jpg",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_5830.jpg",0,0.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.333333333333333,0,0,0,1,0.5,0,1
"positive_5831.jpg",0,0.6,1,0.5,0,1,0.5,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"positive_7660.jpg",0,1,1,0,1,0.5,0,0,0.333333333333333,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"positive_8300.jpg",0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0.5,0,0,0,0.666666666666667,0,0,0
"positive_8470.jpg",0.5,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0.5,0,0,0,0,0
"positive_b.jpg",0,0,0,0,0,0.4,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"positive_c1.jpg",0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0.5,1,0,0,0,0.5,1,0,0,0,0.5
"positive_EF1.jpg",0,0,0,0.5,0,0,0,1,0,0,0.333333333333333,0,0,0.5,0,0,0,0,0,1,0,0.25,1,0,0
"positive_g6.jpg",0,0,0,0,0,0.333333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_hp2.jpg",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0,0,0.5,0
"positive_m9.jpg",1,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"positive_S22.jpg",0,1,1,1,0,0,0.5,1,0.333333333333333,0,1,0,0,0.666666666666667,0,0,0,0.25,0,0,0,0,0,0,0
"positive_t1.jpg",0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,1
"positive_s2.jpg",0.5,1,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0
"positive_y5.jpg",0,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,1,0.5,0,0,0,0,0,1,0,0
