"","positive_015.jpg","positive_041.jpg","positive_047.jpg","positive_056.jpg","positive_078.jpg","positive_1601.jpg","positive_2034.jpg","positive_2217.jpg","positive_2300.jpg","positive_2501.jpg","positive_2550.jpg","positive_4574.jpg","positive_7499.jpg","positive_7660.jpg","positive_8120.jpg","positive_8470.jpg","positive_c1.jpg","positive_d6.jpg","positive_EF1.jpg","positive_hp2.jpg","positive_r4.jpg","positive_s1.jpg","positive_s2.jpg","positive_S22.jpg","positive_t1.jpg"
"positive_015.jpg",0,0,1,0,0,0.25,1,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0
"positive_041.jpg",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0,1,1,1
"positive_047.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"positive_056.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,1,0,0,0,0,0,0,1,0,1,0,1
"positive_078.jpg",0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.333333333333333,0.5
"positive_1601.jpg",0.25,0,0,0,0,0,1,1,0,0,0,1,0,0,0.5,0.333333333333333,0,0,1,0,0,0,0,1,0
"positive_2034.jpg",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,0.333333333333333,0,0,0,0
"positive_2217.jpg",0,0,0,0,0,1,0,0,0.5,1,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,1,0,0.5,1,1,0
"positive_2300.jpg",0,0,0,0,1,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0.5,1,0,0,1,0,1
"positive_2501.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0,0,0
"positive_2550.jpg",1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.5,0
"positive_4574.jpg",0,0,0,1,0,1,0,0,0.5,1,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0
"positive_7499.jpg",0,1,0,0.666666666666667,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"positive_7660.jpg",0,1,0,1,1,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0
"positive_8120.jpg",0,0,0,0,0,0.5,0,0,0,0,0,1,1,0.5,0,1,0,1,0,1,0,0,1,0,0
"positive_8470.jpg",0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,1,0,0.5,0,0,0,0.666666666666667,0,0.5,0,0.5
"positive_c1.jpg",0,0,0,0,1,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0.5,0,0,1,0.5,0,0,0.5
"positive_d6.jpg",0.5,0,0,0,1,0,0,0.333333333333333,0,1,0,0.5,0,0,1,0,0.5,0,0,0,0,0,0.5,0,0.5
"positive_EF1.jpg",0.5,0,1,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_hp2.jpg",0,0,0,0,0,0,1,1,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0
"positive_r4.jpg",1,0.5,0,1,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0.666666666666667,1,0,0,0,0,1,0,0,0
"positive_s1.jpg",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0.5
"positive_s2.jpg",0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0,0,0.333333333333333
"positive_S22.jpg",0,1,0,0,0.333333333333333,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"positive_t1.jpg",0,1,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.333333333333333,0,0
