"","negative_206.jpg","negative_207.jpg","negative_2122.jpg","negative_214.jpg","negative_215.jpg","negative_217.jpg","negative_224.jpg","negative_228.jpg","negative_2410.bmp","negative_2458.jpg","negative_2753.jpg","negative_2810.jpg","negative_3280.jpg","negative_6212.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9530.bmp","negative_9600.jpg","negative_b7.jpg","negative_h11.bmp","negative_I1.jpg"
"negative_206.jpg",0,0.75,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_207.jpg",0.75,0,0,0.5,1,0,0.333333333333333,1,0.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"negative_2122.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0,0.6
"negative_214.jpg",0,0.5,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
"negative_215.jpg",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0,0.5,0,0
"negative_217.jpg",1,0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0,1,0,0
"negative_224.jpg",1,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0
"negative_228.jpg",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"negative_2410.bmp",0,0.5,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0.5,0,1,0.666666666666667,0,1,0,0,0,0
"negative_2458.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1
"negative_2753.jpg",0,0,0,0,0,0,0,0,1,0,0,0,1,0.25,0,0,0,0,0.5,1,0.5,0,0,0,0
"negative_2810.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0.25,0.5,1
"negative_3280.jpg",0,0,1,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_6212.jpg",0,0,0,1,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,1,0,0.5,1,0
"negative_6510.jpg",0,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,1
"negative_65701_1.jpg",0,1,0,1,0,0,0,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,1,0
"negative_6821.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_8231.jpg",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,1,0
"negative_9041.jpg",0,1,0,0,0,0.333333333333333,0,1,0.666666666666667,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
"negative_9190.jpg",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.666666666666667,0,0,1,1,0,0,0
"negative_9530.bmp",0,0,0,0,0.5,0,0,0,1,0,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"negative_9600.jpg",0,0,0,0,0,0,0.666666666666667,0,0,0,0,0.5,0,0,0,1,0,0,0,1,0,0,1,0,0
"negative_b7.jpg",0,0,0.5,1,0.5,1,0,1,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,1,0,0,1
"negative_h11.bmp",0,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,1,0,1,1,0,0,0,0,0,0.333333333333333
"negative_I1.jpg",0,0,0.6,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0.333333333333333,0
