"","neutral_082.jpg","neutral_099.jpg","neutral_104.jpg","neutral_114.jpg","neutral_124.jpg","neutral_169.jpg","neutral_186.jpg","neutral_191.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_N01.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_S5.jpg"
"neutral_082.jpg",0,1,0.333333333333333,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"neutral_099.jpg",1,0,1,0,0.333333333333333,1,0,1,1,0,0,0.5,0,1,0,0,0,0,0,0,0,1,0.333333333333333,0,0
"neutral_104.jpg",0.333333333333333,1,0,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,1,1
"neutral_114.jpg",0,0,0.5,0,0,0.5,0,0,0,0,1,1,1,0,1,0,0,0.666666666666667,0,0,0,0,0,0,0
"neutral_124.jpg",0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0.5,1,0,0
"neutral_169.jpg",0,1,0,0.5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_186.jpg",0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"neutral_191.jpg",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0.5,0
"neutral_2019.jpg",1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0.5
"neutral_2200.jpg",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,0,0,1
"neutral_2442.jpg",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"neutral_2495.jpg",0.5,0.5,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0.5,0
"neutral_2745.1.jpg",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"neutral_2850.jpg",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"neutral_BP5.jpg",0,0,1,1,0,0,0,0.333333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"neutral_D.jpg",0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0.5,0.5,1,0,0.5
"neutral_N01.bmp",0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.5
"neutral_N07.bmp",0,0,0,0.666666666666667,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5,0.333333333333333,1,0,0,0
"neutral_N12.bmp",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.5,0,0
"neutral_N13.bmp",0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,1,0,0.5,0,0,0.666666666666667,0,0,0,0
"neutral_N19.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.333333333333333,1,0.666666666666667,0,0,1,0,0
"neutral_N20.bmp",0,1,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0
"neutral_N34.bmp",0,0.333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5,0,1,0,0,0,0
"neutral_n5.jpg",0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1
"neutral_S5.jpg",0,0,1,0,0,0,0,0,0.5,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0
