"","negative_215.jpg","negative_216.jpg","negative_217.jpg","negative_224.jpg","negative_228.jpg","negative_2410.bmp","negative_251.jpg","negative_2750.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6212.jpg","negative_6555.jpg","negative_9041.jpg","negative_9190.jpg","negative_9530.bmp","negative_AF3.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_MF2.jpg","negative_SF4.jpg","negative_L29.bmp"
"negative_215.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_216.jpg",0,0,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0
"negative_217.jpg",0,0.666666666666667,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
"negative_224.jpg",1,0,1,0,0,0,0,0,0.5,0,0,0.5,0,1,1,0,0,0,1,1,0.75,0,0,0,0
"negative_228.jpg",0,0,0,0,0,1,0.5,0,0,0,1,0,0,0,1,0,0,0,0.666666666666667,0,0,0.5,0,0,1
"negative_2410.bmp",0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0.5,0,0,0.5,0,0,1,0,0
"negative_251.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.5,1,0.5,0,0,0,0
"negative_2750.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2753.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_2810.jpg",0,1,0,0,0,1,0,0,0,0,0.5,0,0,1,1,0,1,0,0,0,1,0,0,1,0
"negative_3180.jpg",0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"negative_3280.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"negative_6211.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"negative_6212.jpg",0,0,0,1,0,1,0.5,0,0,1,0,0,0.5,0,1,0,1,1,0,0,0,0,1,1,0
"negative_6555.jpg",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.666666666666667
"negative_9041.jpg",0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0
"negative_9190.jpg",0,0,1,0,0,0.5,0,0,0,1,1,0,0,1,0,1,0,0.5,0,1,0.333333333333333,0,0,0,0
"negative_9530.bmp",0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0.5,0,1,1,0,1,0,0.5,0
"negative_AF3.jpg",0,0,1,1,0.666666666666667,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
"negative_DF1.jpg",0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0.5,0
"negative_DP3.jpg",0,0.333333333333333,0,0.75,0,0,0.5,0,0,1,0,0,0,0,1,1,0.333333333333333,0,1,1,0,0.5,1,0.666666666666667,0
"negative_FP3.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0,0,0,0
"negative_MF2.jpg",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"negative_SF4.jpg",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5,0,0.5,0.666666666666667,0,1,0,0
"negative_L29.bmp",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0,0,1,0,0,0,0,0,0
