"","negative_113.jpg","negative_2095.jpg","negative_214.jpg","negative_215.jpg","negative_2410.bmp","negative_2458.jpg","negative_251.jpg","negative_2810.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6311.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_8231.jpg","negative_9190.jpg","negative_9440.jpg","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_L04.bmp","negative_L08.bmp","negative_L29.bmp"
"negative_113.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
"negative_2095.jpg",0,0,0,0.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.666666666666667,0
"negative_214.jpg",0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1
"negative_215.jpg",0,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
"negative_2410.bmp",0,0,0,0,0,0,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_2458.jpg",0,1,0,0,0,0,0,1,1,0.5,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0
"negative_251.jpg",0,1,1,0,0.75,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,1,0,0,1,0,0
"negative_2810.jpg",0,0,0,0,0.5,1,0,0,0,0,0,0,0.4,1,0.333333333333333,0,0,1,0,0,1,0,0,0,0
"negative_3180.jpg",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"negative_3280.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_6211.jpg",0,0,0,0,0,0,0,0,1,0,0,0.5,1,1,0,0,1,0,0,0.5,0,0,0,0,0
"negative_6311.jpg",1,0,0,0,0,1,0,0,0,0.333333333333333,0.5,0,1,0,0.5,0.5,0,0.666666666666667,0,0,0,0,0,0,1
"negative_6510.jpg",1,0,1,1,0,1,0,0.4,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"negative_65701_1.jpg",1,0,1,0,0,1,0,1,0,1,1,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0
"negative_8231.jpg",0,0,1,0,0,0,1,0.333333333333333,0,0,0,0.5,0,0.5,0,0,0.333333333333333,0,1,0,0,0,0,1,1
"negative_9190.jpg",0,1,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0.666666666666667,0
"negative_9440.jpg",0,0,1,1,0,1,0.5,0,1,0,1,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,1,0,0
"negative_AF3.jpg",1,0,0,0,0,1,0,1,0,0,0,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
"negative_c5.jpg",0,1,0,1,1,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"negative_DP3.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1
"negative_FP3.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5
"negative_L04.bmp",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"negative_L08.bmp",0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0,0,0,0
"negative_L29.bmp",0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5,0,0,0
