"","negative_207.jpg","negative_2122.jpg","negative_216.jpg","negative_224.jpg","negative_2410.bmp","negative_251.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_6211.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_6821.jpg","negative_8231.jpg","negative_9190.jpg","negative_9440.jpg","negative_9600.jpg","negative_AF3.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_L02.bmp","negative_L08.bmp","negative_SF4.jpg"
"negative_207.jpg",0,0,0,1,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,1,1,1,0.5,0,0
"negative_2122.jpg",0,0,0,0,0.5,0,1,1,0.333333333333333,1,0,0,1,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0
"negative_216.jpg",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"negative_224.jpg",1,0,0,0,0,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0.5
"negative_2410.bmp",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,1
"negative_251.jpg",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.666666666666667
"negative_2753.jpg",1,1,0,1,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"negative_2810.jpg",1,1,0,0,0,0,0,0,0.5,0,1,0.5,0,1,0,0,0,0,0,0,1,0,0,0,1
"negative_3180.jpg",0,0.333333333333333,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0.5,0.5,0
"negative_6211.jpg",0,1,1,0,0,0,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"negative_6311.jpg",0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
"negative_6510.jpg",0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.333333333333333,0,0,0,0.5,0,1,0,0,0,0,0,1
"negative_6555.jpg",0,1,1,0.5,0,0,0,0,0,1,0,0.333333333333333,0,1,1,0,0.5,0,0.5,0,0,0,0,0.5,0
"negative_6821.jpg",0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,1
"negative_8231.jpg",0,0,1,0,0,0.5,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0.5,0,0,0,0
"negative_9190.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0.333333333333333,0
"negative_9440.jpg",0,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,1,0,0
"negative_9600.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0
"negative_AF3.jpg",0,1,0,0,0,0,1,0,1,0,0,1,0.5,0,0,0.666666666666667,0,0,0,0,0,0,0,0.5,0
"negative_DF1.jpg",1,0.333333333333333,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"negative_DP3.jpg",1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0.5
"negative_FP3.jpg",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0,0
"negative_L02.bmp",0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,1,0.666666666666667,0,1,0
"negative_L08.bmp",0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.333333333333333,0,0.5,0.5,0,1,0,1,0,0
"negative_SF4.jpg",0,0,0,0.5,1,0.666666666666667,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0,0,0
