"","positive_012.jpg","positive_041.jpg","positive_042.jpg","positive_078.jpg","positive_2002.jpg","positive_2217.jpg","positive_2300.jpg","positive_2391.jpg","positive_2501.jpg","positive_2550.jpg","positive_4574.jpg","positive_4598.jpg","positive_5628.jpg","positive_5830.jpg","positive_7499.jpg","positive_7502.jpg","positive_7660.jpg","positive_8300.jpg","positive_8461.jpg","positive_EF1.jpg","positive_g6.jpg","positive_m9.jpg","positive_p1.jpg","positive_S22.jpg","positive_s5.jpg"
"positive_012.jpg",0,0.666666666666667,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0
"positive_041.jpg",0.666666666666667,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,1
"positive_042.jpg",0.333333333333333,1,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0
"positive_078.jpg",1,0.5,0.666666666666667,0,0,0.333333333333333,0.5,0,0,0,0.333333333333333,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"positive_2217.jpg",0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0
"positive_2300.jpg",0,0,0,0.5,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"positive_2391.jpg",0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.333333333333333,0.5,0,0.5,0,0,0,0,1,0,1,0,0.5
"positive_2501.jpg",0,0,0,0,0,0,0,0.5,0,1,1,0,1,0,0,0,0,1,0.5,0,0.5,0.5,0,0,0
"positive_2550.jpg",0,0,0,0,0,0,1,0.5,1,0,0,1,0,0.5,0,0.5,0,1,0,0,0,0,0,0,1
"positive_4574.jpg",0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,1,1,0,0.5,0,1,1,0,0,0,0,0,0
"positive_4598.jpg",0,0,0,0,0,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"positive_5628.jpg",0,0,0,0,0,0,1,0.333333333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"positive_5830.jpg",0,0,0,0,0,0,1,0.5,0,0.5,1,1,0,0,1,0,0,0,0,0,1,0,0,0.5,0
"positive_7499.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0,0,0,0,0,0.5
"positive_7502.jpg",1,0.5,0,1,0,0,1,0.5,0,0.5,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5
"positive_7660.jpg",1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"positive_8300.jpg",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"positive_8461.jpg",1,0,1,1,1,0,0,0,0.5,0,1,0,0,0,0.5,1,0,1,0,0,0,0,0,0,0
"positive_EF1.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"positive_g6.jpg",1,1,0.5,0,0,1,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"positive_m9.jpg",0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"positive_p1.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"positive_S22.jpg",1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0
"positive_s5.jpg",0,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0,0
