"","negative_113.jpg","negative_206.jpg","negative_207.jpg","negative_2122.jpg","negative_2130.jpg","negative_215.jpg","negative_216.jpg","negative_2410.bmp","negative_2753.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_9041.jpg","negative_9190.jpg","negative_9421.jpg","negative_9530.bmp","negative_DF1.jpg","negative_L24.bmp","negative_L29.bmp","negative_MF2.jpg"
"negative_113.jpg",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0,1,1,0,0,1
"negative_206.jpg",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0
"negative_207.jpg",0,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0.5,0,1,0.333333333333333,0,0,0,1,0,0
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0,0,1,0,0,0,0.333333333333333,0,1,0
"negative_2130.jpg",0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"negative_215.jpg",0,1,1,0,0,0,1,0,0.333333333333333,0,0,0,1,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0
"negative_216.jpg",0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_2410.bmp",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0.333333333333333,0,0,0.5,1
"negative_2753.jpg",1,0,0,0,0.333333333333333,0.333333333333333,1,1,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0.5
"negative_3180.jpg",1,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
"negative_3280.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0
"negative_6211.jpg",0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"negative_6212.jpg",0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.5
"negative_6311.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"negative_6510.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"negative_65701_1.jpg",0,0,0.5,0,0,0.333333333333333,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0,0
"negative_6821.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,0,0,0,0
"negative_9041.jpg",0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0
"negative_9190.jpg",0.5,0,0.333333333333333,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
"negative_9421.jpg",0,0,0,0,1,0.333333333333333,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.666666666666667,0
"negative_9530.bmp",1,0.333333333333333,0,0,0,0,0,0.333333333333333,0,1,0,0,1,1,0,0,0.2,1,1,0,0,0,1,0,1
"negative_DF1.jpg",1,1,0,0.333333333333333,0,0,0,0,0.5,1,0,0,0,1,0,0,0,0.5,1,0.5,0,0,0,1,1
"negative_L24.bmp",0,0,1,0,1,0,0,0,0,0,0.5,0,0,0,0,0.666666666666667,0,1,1,0,1,0,0,1,0
"negative_L29.bmp",0,0,0,1,1,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0,0.666666666666667,0,1,1,0,0
"negative_MF2.jpg",1,0,0,0,0,0,1,1,0.5,1,0,0,0.5,1,0,0,0,0,1,0,1,1,0,0,0
