"","neutral_099.jpg","neutral_104.jpg","neutral_106.jpg","neutral_121.jpg","neutral_124.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N19.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_NF4.jpg"
"neutral_099.jpg",0,0,0,0.5,1,0.666666666666667,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"neutral_104.jpg",0,0,0.5,0,0,0,0,0,0,0.5,0,1,1,0,0,0,0,1,0,1,0,0,0,0.5,0
"neutral_106.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0,0,1,0,0,0,1,0,0
"neutral_121.jpg",0.5,0,0,0,0,0,0,0,0,0.333333333333333,1,0.666666666666667,1,0,0,0,0.5,1,0,0,0,0,0,0,1
"neutral_124.jpg",1,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,1,0,0,0.5,1,0,0,0,0,0
"neutral_199.jpg",0.666666666666667,0,0,0,0.5,0,0,0,1,0,0,0,1,0,1,0,0,0.6,0,0,0,0,0,0,0
"neutral_2200.jpg",1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,1,0,1
"neutral_2215.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,1,0
"neutral_2394.jpg",0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,0.5,0,0,0,0,0,1,0,0,0.5,0,0,0
"neutral_2442.jpg",0,0.5,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"neutral_2745.1.jpg",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0
"neutral_2850.jpg",0,1,0,0.666666666666667,0.5,0,0.5,0.5,0.666666666666667,0,1,0,0,0.5,0,0,0,0,1,0,1,1,0,0.333333333333333,0
"neutral_BP5.jpg",1,1,0.333333333333333,1,0,1,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0.333333333333333,1,0,0,0,0
"neutral_D.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5
"neutral_J2.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0.5,0,0,0,1,0,1,0,0,0,1,1
"neutral_N01.bmp",0,0,1,0,1,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,1,0,0.5,0.5,0,0
"neutral_N05.bmp",0,0,0,0.5,0,0,0.5,0,0,0.333333333333333,0,0,0,0,0,1,0,1,0,0.5,0,1,0,0,0
"neutral_N07.bmp",0,1,0,1,0,0.6,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0.5,1,1,0,0
"neutral_N12.bmp",0,0,1,0,0.5,0,0,0,1,0,0.5,1,0,0,0,0.666666666666667,0,0,0,0,0,1,0.333333333333333,1,0
"neutral_N13.bmp",0,1,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,1,1,0.5,0,0,0,0,0,0,0,0
"neutral_N19.bmp",1,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0
"neutral_N34.bmp",0,0,0,0,0,0,0,0,0.5,0,1,1,0,0,0,0.5,1,1,1,0,0,0,0,0,0
"neutral_n5.jpg",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0.333333333333333,0,0,0,0,0,0
"neutral_NF1.jpg",0,0.5,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0.5,1,0,0,0,1,0,0,0,0,0,1
"neutral_NF4.jpg",0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0
