"","neutral_082.jpg","neutral_099.jpg","neutral_106.jpg","neutral_114.jpg","neutral_121.jpg","neutral_124.jpg","neutral_156.jpg","neutral_157.jpg","neutral_186.jpg","neutral_191.jpg","neutral_199.jpg","neutral_2393.jpg","neutral_D.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N31.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_NF4.jpg","neutral_S5.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,1,0.75,0,0,1,0
"neutral_099.jpg",0.333333333333333,0,1,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0.666666666666667,0,0.5,0,0,0,0,0,0,0.5
"neutral_106.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,1,0,0
"neutral_114.jpg",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_121.jpg",0,0.5,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"neutral_124.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0.5,0,1,0,0,0,1,0
"neutral_156.jpg",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_157.jpg",0,1,0,0,1,0,0,0,0,0,1,0,0,0.5,0,1,0,0.333333333333333,0,0,0,0,0,1,0
"neutral_186.jpg",0,0,0,0,1,0,1,0,0,0.5,1,0,0,0,1,0.5,0,0,0.666666666666667,0,0,0,0,0,0.5
"neutral_191.jpg",0.5,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"neutral_199.jpg",0,0,0,0,1,0,0,1,1,1,0,0,0.5,0.5,0,0.5,0,1,0,0,0,0,0,0,0
"neutral_2393.jpg",0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0.5,1,0,0,0,0.5,0
"neutral_D.jpg",0,0,0,0,1,1,0,0,0,0,0.5,0,0,0.4,1,0,0,0,0,1,0.5,1,0,1,1
"neutral_N04.bmp",0,0,0.5,0,1,0,0,0.5,0,0,0.5,0,0.4,0,0,0,0.666666666666667,0,0,0,1,1,0.666666666666667,0,0
"neutral_N05.bmp",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"neutral_N07.bmp",0,0.666666666666667,0,0,0,0.5,0,1,0.5,0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"neutral_N12.bmp",0.5,0,1,0,0,0,1,0,0,0,0,0,0,0.666666666666667,0,0,0,1,0,0,0,0,0,0,0
"neutral_N19.bmp",0.5,0.5,0,0,0,0.5,0,0.333333333333333,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"neutral_N20.bmp",0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.5,0,0,1,0,0,1,0,0.5,0,0,0,0.5,0
"neutral_N31.bmp",1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0,0,0,0,1,0
"neutral_n5.jpg",0.75,0,1,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,1,1,0
"neutral_NF1.jpg",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"neutral_NF4.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,1,0,0,1,1
"neutral_S5.jpg",1,0,0,0,1,1,0,1,0,0,0,0.5,1,0,0,0,0,0,0.5,1,1,0,1,0,0
"neutral_SP3.jpg",0,0.5,0,1,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
