"","negative_113.jpg","negative_206.jpg","negative_207.jpg","negative_2095.jpg","negative_2122.jpg","negative_2130.jpg","negative_214.jpg","negative_217.jpg","negative_2410.bmp","negative_2458.jpg","negative_2750.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_6311.jpg","negative_6510.jpg","negative_9530.bmp","negative_b7.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_L24.bmp","negative_L29.bmp"
"negative_113.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_206.jpg",0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1,1,1
"negative_207.jpg",0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
"negative_2095.jpg",0,0,0,0,0,0,0,1,0,0,0.5,0,0,1,1,0,0,0,0.666666666666667,0,0,0.5,0,0,0.333333333333333
"negative_2122.jpg",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5,1,0,0,0,1,0,0,0,0
"negative_2130.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,1,0,0,0,0
"negative_214.jpg",0,0.5,1,0,1,0,0,1,0,0.666666666666667,0,0,0,0.25,1,0,0,0.5,0.5,0,0,0.666666666666667,0,0,0
"negative_217.jpg",0,0,0.5,1,0,0,1,0,0.25,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.5
"negative_2410.bmp",0,0,0,0,0,0,0,0.25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
"negative_2458.jpg",0,0,0,0,0,0,0.666666666666667,1,1,0,0,0,1,1,0.5,0,0,0.5,1,1,0,0,0,0,0
"negative_2750.jpg",0.5,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
"negative_2753.jpg",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2810.jpg",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_3180.jpg",0,1,0,1,0,0,0.25,0,1,1,0,0,0,0,0,0,0.5,0,0,0,0,0.333333333333333,1,0.5,1
"negative_6311.jpg",0,0.5,1,1,0,0,1,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0
"negative_6510.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"negative_9530.bmp",0,0,0,0,1,0,0,1,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,1,0,0,0,0.5,0,0,0,0,1,1
"negative_DP3.jpg",0,0,1,0.666666666666667,0,0.25,0.5,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,1
"negative_FP3.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0
"negative_I1.jpg",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_L02.bmp",0,0,0,0.5,0,0,0.666666666666667,1,1,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,0
"negative_L04.bmp",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0.5,0.5
"negative_L24.bmp",0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,1,0.5,0.5,0,0.333333333333333,0.5,0,0.5
"negative_L29.bmp",0,1,1,0.333333333333333,0,0,0,0.5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0.5,0.5,0
