"","negative_206.jpg","negative_2095.jpg","negative_2130.jpg","negative_215.jpg","negative_216.jpg","negative_2410.bmp","negative_2458.jpg","negative_2750.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_6211.jpg","negative_6212.jpg","negative_65701_1.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9600.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_I1.jpg","negative_L02.bmp","negative_L08.bmp","negative_L24.bmp","negative_SF4.jpg"
"negative_206.jpg",0,0,1,0,0,0.333333333333333,1,0,0,1,0,0,0,0.333333333333333,1,1,0,0,1,0.5,1,0,0,0,1
"negative_2095.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2130.jpg",1,0,0,0,0,0.333333333333333,0,1,0,0,0,0.666666666666667,0,0,0,1,0.666666666666667,0,0,0,0,0,1,0.75,1
"negative_215.jpg",0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0
"negative_216.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_2410.bmp",0.333333333333333,0,0.333333333333333,0,0,0,0,0.5,0,0,0.333333333333333,0,1,1,0.5,0,0,0,0,0,0,0,0,0.5,0.333333333333333
"negative_2458.jpg",1,0,0,1,0,0,0,1,1,0,0.333333333333333,0,0,0,1,0,0,0,1,1,0.666666666666667,0,0,0.666666666666667,1
"negative_2750.jpg",0,0,1,0.5,0,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"negative_2753.jpg",0,0,0,0,0,0,1,1,0,0,0.666666666666667,0,0,0,1,0,0.5,0,0,1,0,0,1,0,0
"negative_2810.jpg",1,0,0,0,1,0,0,1,0,0,1,0,0.333333333333333,0,0,0,0,0,1,0,1,0.333333333333333,0,0,0
"negative_3180.jpg",0,0,0,0,0,0.333333333333333,0.333333333333333,0,0.666666666666667,1,0,0,0,0.5,0.666666666666667,0,0,0.5,0,0,1,0,0,0,0
"negative_6211.jpg",0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0
"negative_6212.jpg",0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.333333333333333,0
"negative_65701_1.jpg",0.333333333333333,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0
"negative_8231.jpg",1,0,0,0,0,0.5,1,0,1,0,0.666666666666667,1,0.5,0,0,1,0,0,0,0,0,0,1,1,0
"negative_9041.jpg",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"negative_9190.jpg",0,0,0.666666666666667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_9600.jpg",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_DF1.jpg",1,0,0,1,0,0,1,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,1,1,0,1,0.5
"negative_FP3.jpg",0.5,0,0,0.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,1,0,1
"negative_I1.jpg",1,0,0,0,0,0,0.666666666666667,1,0,1,1,0,0,0,0,1,0,0,1,0.5,0,0,0,0,0
"negative_L02.bmp",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"negative_L08.bmp",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
"negative_L24.bmp",0,0,0.75,0,0,0.5,0.666666666666667,1,0,0,0,0,0.333333333333333,0,1,0,0,0,1,0,0,0,0,0,1
"negative_SF4.jpg",1,0,1,0,1,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,1,1,0
