"","positive_032.jpg","positive_041.jpg","positive_056.jpg","positive_1601.jpg","positive_2002.jpg","positive_2034.jpg","positive_2304.jpg","positive_2306.jpg","positive_4598.jpg","positive_4689.jpg","positive_5830.jpg","positive_7499.jpg","positive_7502.jpg","positive_7660.jpg","positive_8300.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_p1.jpg","positive_s1.jpg","positive_y5.jpg","positive_S22.jpg"
"positive_032.jpg",0,0,1,0,0.5,0,0,0.5,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
"positive_041.jpg",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"positive_056.jpg",1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0.5,0.5,0,0,1,0,0,0,0
"positive_1601.jpg",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.5,0.5,1,1,0,1
"positive_2002.jpg",0.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0,1,1
"positive_2034.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2304.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
"positive_2306.jpg",0.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0,1,0,1
"positive_4598.jpg",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,1
"positive_4689.jpg",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0,0.5,0,0,0,1,0,0,0.5
"positive_5830.jpg",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"positive_7499.jpg",0,0,1,1,0,0,0,0,0,1,0,0,0,1,0.5,1,1,0,0,0,1,0,0.5,0,0
"positive_7502.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,1,0,1,0,0
"positive_7660.jpg",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0.5,0,0
"positive_8300.jpg",1,1,1,0,0,0,0,0.666666666666667,0,0,0,0.5,1,1,0,0,1,0,0,0,0,0,1,0,0
"positive_8461.jpg",1,1,1,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"positive_8470.jpg",0,0,0.5,0,0,0,0,0,0.5,0,0,1,0.5,0,1,0,0,0,1,0,0.5,0,0,0,1
"positive_b.jpg",0,0,0.5,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"positive_c1.jpg",0,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.5,0,0
"positive_g6.jpg",0,0,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"positive_hp2.jpg",0,0,1,0.5,0,0,0,0,0,0,0,1,1,0,0,1,0.5,0,0,0,0,1,0.5,0,0
"positive_p1.jpg",1,0,0,1,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"positive_s1.jpg",0,1,0,1,0,0,0,1,0,0,0,0.5,1,0.5,1,0,0,0,0.5,0,0.5,0,0,0,0
"positive_y5.jpg",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_S22.jpg",0,0,0,1,1,0,0.5,1,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
