"","neutral_082.jpg","neutral_099.jpg","neutral_104.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_156.jpg","neutral_186.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_D.jpg","neutral_N07.bmp","neutral_N12.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_NF1.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_S5.jpg"
"neutral_082.jpg",0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,1
"neutral_099.jpg",0.666666666666667,0,1,0,0,0,0,0,0,0.5,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,0,1,0
"neutral_104.jpg",0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5
"neutral_114.jpg",0,0,0,0,0,1,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0
"neutral_116.jpg",1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.666666666666667,0,0,0,0,0.5,0,0
"neutral_117.jpg",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0,1,0,0.5
"neutral_156.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_186.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"neutral_194.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.333333333333333
"neutral_2019.jpg",0,0.5,1,1,0,0,0,0,0,0,0.666666666666667,0.75,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333333333,0
"neutral_2200.jpg",0,0,0,0.5,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"neutral_2305.jpg",0,0,1,0,1,0,0,0,0,0.75,1,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
"neutral_2393.jpg",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
"neutral_2394.jpg",0.666666666666667,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
"neutral_2745.1.jpg",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.666666666666667
"neutral_2850.jpg",1,0.333333333333333,0,0.5,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0.5
"neutral_D.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
"neutral_N07.bmp",0,0,0,0,0.666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"neutral_N12.bmp",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
"neutral_N19.bmp",0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0
"neutral_N20.bmp",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.333333333333333,0
"neutral_NF1.jpg",0,0,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_NF4.jpg",0,0,0.5,1,0.5,1,0,0,0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_r.jpg",0,1,0,1,0,0,0,0,0,0.333333333333333,0,0,1,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0
"neutral_S5.jpg",1,0,0.5,0,0,0.5,0,0,0.333333333333333,0,0,0,1,1,0.666666666666667,0.5,1,0,1,0,0,0,0,0,0
