"","neutral_082.jpg","neutral_103.jpg","neutral_121.jpg","neutral_157.jpg","neutral_169.jpg","neutral_191.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N07.bmp","neutral_N13.bmp","neutral_N31.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP2.jpg"
"neutral_082.jpg",0,0,0,0.5,0,0,0,0.333333333333333,1,0,0.5,0,0,1,0,1,0.5,0,0,0,0,0,0,0,1
"neutral_103.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0
"neutral_121.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0,0,0,0,0
"neutral_157.jpg",0.5,1,1,0,0,1,0.5,0,0,0.333333333333333,0,0,1,0.5,0,0,1,0,0,0,0,0,0,1,1
"neutral_169.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.5,0,1,0,0,0,1
"neutral_191.jpg",0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"neutral_194.jpg",0,0,0,0.5,0,1,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0.5,0,0,1,0
"neutral_199.jpg",0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,1,0.5,0,0,0,0,0,0
"neutral_2305.jpg",1,0,0,0,0,0,0,0.5,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
"neutral_2393.jpg",0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0,0,1,0.5,0,0,0,0,0.5
"neutral_2442.jpg",0.5,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_2850.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_BP5.jpg",0,0,0,1,1,1,0,0,1,0.333333333333333,0,0,0,0,1,0,1,0,0.5,0,1,0,0,0,1
"neutral_D.jpg",1,0,0,0.5,0,1,0,0.5,1,0,1,0,0,0,1,0,0.333333333333333,0,1,1,0,0,0,0,1
"neutral_N01.bmp",0,0,0,0,1,0,0.5,0,0,0,0,0,1,1,0,0,0,1,0.5,1,1,0,0,0,0
"neutral_N04.bmp",1,0.333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.5,0
"neutral_N07.bmp",0.5,0,0.333333333333333,1,1,0,0,0,1,0,0,0,1,0.333333333333333,0,0,0,1,0,0.5,1,0,0,0,0
"neutral_N13.bmp",0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0.666666666666667,1,0,0.5,1,0.5,0,0,0.5,0
"neutral_N31.bmp",0,0,0,0,0.5,0,0,0.5,0,1,0,0,0.5,1,0.5,0,0,0.5,0,0.5,0,0,0,0,1
"neutral_N34.bmp",0,0,1,0,0,0,0,0,0,0.5,0,0,0,1,1,0,0.5,1,0.5,0,0,0,0,0,0
"neutral_n5.jpg",0,0,0,0,1,0,0.5,0,0,0,0,0,1,0,1,0,1,0.5,0,0,0,0,0,0.5,1
"neutral_NF4.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_r.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_S5.jpg",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0
"neutral_SP2.jpg",1,0,0,1,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0
