"","negative_113.jpg","negative_2095.jpg","negative_2122.jpg","negative_2130.jpg","negative_214.jpg","negative_215.jpg","negative_216.jpg","negative_228.jpg","negative_2458.jpg","negative_2750.jpg","negative_2753.jpg","negative_6211.jpg","negative_6311.jpg","negative_6555.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9421.jpg","negative_9600.jpg","negative_b7.jpg","negative_DP3.jpg","negative_L02.bmp","negative_L29.bmp","negative_SF4.jpg","negative_T1.jpg"
"negative_113.jpg",0,0,0.5,0,0,0.5,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,1,0.5,0.5,0,0,0,0
"negative_2095.jpg",0,0,0.5,0,0,0.333333333333333,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0
"negative_2122.jpg",0.5,0.5,0,0,0,1,0,0,0.5,0,1,0,0.666666666666667,0,0,0,0,0.5,0,1,0,0,0,0,0
"negative_2130.jpg",0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5
"negative_214.jpg",0,0,0,0,0,0,0,1,1,1,1,0,0,0.5,0,0,0,0.5,0,0.333333333333333,1,0,0,0,1
"negative_215.jpg",0.5,0.333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"negative_216.jpg",0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"negative_228.jpg",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0.5,1,1,0
"negative_2458.jpg",0.333333333333333,1,0.5,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0.333333333333333,1,0,0,1,1,0
"negative_2750.jpg",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0
"negative_2753.jpg",0,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,1
"negative_6211.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0
"negative_6311.jpg",1,0,0.666666666666667,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"negative_6555.jpg",0,0,0,0.5,0.5,0,0,0,1,0,0,0.666666666666667,1,0,0,1,0,0,0,0,0,0,0,0,0
"negative_6821.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_8231.jpg",0,0,0,0,0,1,0,0,0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"negative_9041.jpg",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"negative_9421.jpg",0,0,0.5,0,0.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0
"negative_9600.jpg",1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0
"negative_b7.jpg",0.5,1,1,0,0.333333333333333,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
"negative_DP3.jpg",0.5,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,1,0
"negative_L02.bmp",0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_L29.bmp",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"negative_SF4.jpg",0,0,0,0,0,0,0,1,1,0,0.75,0,0,0,0,0,0,0.25,0,0,1,0,1,0,0
"negative_T1.jpg",0,0,0,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
