"","neutral_114.jpg","neutral_121.jpg","neutral_124.jpg","neutral_156.jpg","neutral_157.jpg","neutral_169.jpg","neutral_191.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2394.jpg","neutral_2495.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N13.bmp","neutral_N20.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_NF4.jpg","neutral_S5.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_114.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0.333333333333333,0,1,0,0,0,0,1,0,0,0
"neutral_121.jpg",0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0.5,0,1,0,0,0,0,1,1,0
"neutral_124.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0,0,0,1
"neutral_156.jpg",0.5,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"neutral_157.jpg",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0
"neutral_169.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_191.jpg",0,0,0,1,0,0,0,1,0,0,0,0.5,1,0,0,1,0,1,0,0,0,0,0,0.5,0
"neutral_194.jpg",0,0.5,0,1,1,1,1,0,0.5,0,0,0.333333333333333,0,1,0,0,0,0.5,0,1,0,0,0,0,0
"neutral_2019.jpg",0,0,0,0,1,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0
"neutral_2215.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0.333333333333333,0,0
"neutral_2305.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0,0,0,1,1,1,0,0
"neutral_2394.jpg",0,1,0,0,0,0,0.5,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.5
"neutral_2495.jpg",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
"neutral_J2.jpg",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"neutral_N04.bmp",0.333333333333333,0,0,1,0,1,0,0,1,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0.5,0,0,0,0.5
"neutral_N05.bmp",0,0.5,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0,0,0
"neutral_N07.bmp",1,0,0,0,1,0,0,0,0,0,0.666666666666667,0,1,0,1,1,0,0,0,1,0.5,0,0,0,0
"neutral_N13.bmp",0,1,1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"neutral_N20.bmp",0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0
"neutral_N34.bmp",0,0,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0.333333333333333,0,0,0,0,0,0
"neutral_n5.jpg",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.5,1,0.5,0,0,0,0,1,0,0,0
"neutral_NF4.jpg",1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0.5,0,0,0,0,1,0,0,0,0.5
"neutral_S5.jpg",0,1,0,0,0,0,0,0,1,0.333333333333333,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
"neutral_SP2.jpg",0,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"neutral_SP3.jpg",0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,1,0,0,0,0.5,1,0,0
