"","positive_041.jpg","positive_056.jpg","positive_078.jpg","positive_1601.jpg","positive_2217.jpg","positive_2306.jpg","positive_2395.jpg","positive_2501.jpg","positive_2550.jpg","positive_4574.jpg","positive_4598.jpg","positive_5628.jpg","positive_5831.jpg","positive_7499.jpg","positive_7502.jpg","positive_7660.jpg","positive_8120.jpg","positive_8300.jpg","positive_8461.jpg","positive_b.jpg","positive_c1.jpg","positive_EF1.jpg","positive_m9.jpg","positive_s1.jpg","positive_t1.jpg"
"positive_041.jpg",0,0,0,1,0,1,0.5,0,0.25,0,0.8,0,0,0,1,0,1,1,0,0,0,1,0,0,0
"positive_056.jpg",0,0,1,0,0,0.666666666666667,0,0,0,0,0,0.5,0,1,0,0.5,0,1,0.5,0,0,0,0,1,0
"positive_078.jpg",0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0.666666666666667,0,0,0,0,0,0,0,0.5,0
"positive_1601.jpg",1,0,0,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.5,0
"positive_2217.jpg",0,0,0,0.5,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2306.jpg",1,0.666666666666667,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0,1,0
"positive_2395.jpg",0.5,0,0,0.5,0.5,0,0,0.666666666666667,0.5,1,0,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0
"positive_2501.jpg",0,0,0,1,0,0,0.666666666666667,0,1,0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"positive_2550.jpg",0.25,0,0,0,0,0.666666666666667,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0.75,0,1,0,1,0
"positive_4574.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"positive_4598.jpg",0.8,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.666666666666667,0.5,0,0,0.5,0,1,0,0,0,1
"positive_5628.jpg",0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"positive_5831.jpg",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0.333333333333333,0,0,0
"positive_7499.jpg",0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.25,0
"positive_7502.jpg",1,0,1,0,0,0,0.5,0,0,0,0.666666666666667,0,0,1,0,1,0,0,0,0,1,0,0,0,0.5
"positive_7660.jpg",0,0.5,0.666666666666667,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0.5,0,0,1,0,0,0
"positive_8120.jpg",1,0,0,0,0,1,0,0,0.5,1,0,0,1,0,0,0,0,0,0.5,0,0,0,0,1,0
"positive_8300.jpg",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0,1,0,0,0,0
"positive_8461.jpg",0,0.5,0,1,0,0.5,1,0,0,0,0.5,0,1,0,0,0.5,0.5,0.5,0,0,0,0,1,0,0
"positive_b.jpg",0,0,0,1,0,0,1,1,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_c1.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"positive_EF1.jpg",1,0,0,0,0,0.5,0,0,1,1,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,1,0,0
"positive_m9.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"positive_s1.jpg",0,1,0.5,0.5,0,1,0,0,1,1,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0
"positive_t1.jpg",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
