"","negative_206.jpg","negative_2130.jpg","negative_216.jpg","negative_217.jpg","negative_228.jpg","negative_2410.bmp","negative_251.jpg","negative_6311.jpg","negative_6510.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9190.jpg","negative_9530.bmp","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_L08.bmp","negative_L29.bmp","negative_MF2.jpg","negative_SF4.jpg","negative_T1.jpg"
"negative_206.jpg",0,0,0,1,1,0.25,0,1,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0.5,1,1,1,0
"negative_2130.jpg",0,0,0,0.333333333333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_216.jpg",0,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"negative_217.jpg",1,0.333333333333333,0,0,0,0,0,0,0,0.5,0.75,1,0,1,0,0,0,0,1,0,1,0,0.5,0,1
"negative_228.jpg",1,0,0,0,0,0,0,0.333333333333333,0,0.5,0.666666666666667,0,0,0,0.666666666666667,0,0,0.5,1,1,0.5,0,1,0,0
"negative_2410.bmp",0.25,0,1,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_251.jpg",0,0.5,0.666666666666667,0,0,0,0,0,0,0.5,0.333333333333333,0,0,1,1,0,0.5,1,0,1,1,1,1,0,0.5
"negative_6311.jpg",1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.5,0,0,0.333333333333333,0,0,0,0.333333333333333,1,0,0.5
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
"negative_65701_1.jpg",0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0,1,0,0,1
"negative_6821.jpg",0.333333333333333,0,0,0.75,0.666666666666667,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0,0.5,0.333333333333333,0,0
"negative_8231.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_9041.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0,0,1
"negative_9190.jpg",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
"negative_9530.bmp",0,0,0,0,0.666666666666667,0,1,0.5,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0
"negative_AF3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,0,0,0.5,0,0,0.333333333333333,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
"negative_c5.jpg",1,0,0,0,0.5,0,1,0.333333333333333,0,0,0,0,0,1,1,0,0.5,0,0,1,1,1,1,0,1
"negative_DP3.jpg",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"negative_FP3.jpg",0,0,0.5,0,1,0,1,0,0,1,0.5,0,0,1,0.5,0,0,1,0,0,0,0,0,0.5,0
"negative_L08.bmp",0.5,0,0,1,0.5,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,1,1,0,0,1,0,0,0
"negative_L29.bmp",1,0,0,0,0,0,1,0.333333333333333,0,1,0.5,0,0,0,0,0,0,1,1,0,1,0,0,0,1
"negative_MF2.jpg",1,0,0,0.5,1,0,1,1,0,0,0.333333333333333,0,0,1,0,0,0,1,1,0,0,0,0,1,1
"negative_SF4.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,1,0,0.666666666666667
"negative_T1.jpg",0,0,0,1,0,0,0.5,0.5,0.333333333333333,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.666666666666667,0
