"","neutral_082.jpg","neutral_103.jpg","neutral_106.jpg","neutral_117.jpg","neutral_124.jpg","neutral_156.jpg","neutral_186.jpg","neutral_191.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2305.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N07.bmp","neutral_N20.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_SP3.jpg","neutral_SP2.jpg"
"neutral_082.jpg",0,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0
"neutral_103.jpg",1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0.666666666666667,0,0.5,0,0,0,0,0,0
"neutral_106.jpg",0,0,0,0,0,0,0,0,0.5,0.5,1,0,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"neutral_117.jpg",0,0.5,0,0,0.5,0.5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"neutral_124.jpg",0,0,0,0.5,0,0,0.25,0,0,0,1,0,0,0.333333333333333,0,0,1,1,0,1,0,0,0,0.333333333333333,0.666666666666667
"neutral_156.jpg",0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"neutral_186.jpg",0,0,0,0,0.25,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.5,0.25,0
"neutral_191.jpg",0,0,0,1,0,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0.5,1,0,0,0,0,0.5
"neutral_194.jpg",0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.333333333333333
"neutral_199.jpg",0.666666666666667,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,0,0,0
"neutral_2019.jpg",0,0,1,0,1,0,0,0,0,0,0,1,0,0.333333333333333,0,0,1,0,0,0,0,1,0,0,0
"neutral_2305.jpg",0,0,0,0,0,0,1,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_2394.jpg",0.666666666666667,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,0,0,0,0,0,0
"neutral_2442.jpg",0,1,0.5,0,0.333333333333333,0,0,0,0,0,0.333333333333333,1,0.5,0,1,1,0.333333333333333,0,0,0,0,0,1,0,0.2
"neutral_2495.jpg",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"neutral_2850.jpg",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"neutral_BP5.jpg",0,0.666666666666667,0,0,1,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,1,1,0,0,1,0,0,0.5
"neutral_J2.jpg",1,0,0.5,0,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0.5,0,0.666666666666667,0,0,0
"neutral_N04.bmp",0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.333333333333333
"neutral_N07.bmp",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0
"neutral_N20.bmp",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0.5,0.5
"neutral_n5.jpg",0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0,0
"neutral_NF1.jpg",0,0,0,1,0,1,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
"neutral_SP3.jpg",0,0,0,0,0.333333333333333,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
"neutral_SP2.jpg",0,0,0,0,0.666666666666667,0,0,0.5,0.333333333333333,0,0,0,0,0.2,1,0,0.5,0,0.333333333333333,0,0.5,0,1,0,0
