"","neutral_103.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_124.jpg","neutral_156.jpg","neutral_169.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2393.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N20.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_S5.jpg","neutral_r.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_103.jpg",0,0.5,1,0,0,0.5,0.666666666666667,0,0,1,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_114.jpg",0.5,0,1,1,1,0,0,0,0.5,0,0,0.5,0,0,1,0,0,0,0,0,1,0,0,0.5,0
"neutral_116.jpg",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_117.jpg",0,1,1,0,0,0.5,0,0,0,0,0,0.5,0,0,1,0,0.5,1,0,0,0,0,0,0,0
"neutral_124.jpg",0,1,1,0,0,0,0,0,0,0,0.333333333333333,1,0.5,0,1,0,0.333333333333333,0,0.5,0,0.5,0.5,0,0,0
"neutral_156.jpg",0.5,0,0,0.5,0,0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_169.jpg",0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0.5
"neutral_194.jpg",0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
"neutral_2019.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,1,1,0,1
"neutral_2200.jpg",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2215.jpg",1,0,0,0,0.333333333333333,0,0,0,0,1,0,1,0,0.666666666666667,0,0,0,0,1,0,1,0,0,0,0
"neutral_2393.jpg",0.666666666666667,0.5,0,0.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2745.1.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.666666666666667,0,0.333333333333333,0.666666666666667
"neutral_BP5.jpg",0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,1,1
"neutral_D.jpg",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"neutral_N01.bmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0
"neutral_N04.bmp",0,0,1,0.5,0.333333333333333,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"neutral_N20.bmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,0,1,0,0
"neutral_N31.bmp",0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"neutral_N33.bmp",0,0,0,0,0,0,1,1,0,0,0,0,0.5,0.333333333333333,0,0.5,1,0.5,0,0,0,0,0,0,0
"neutral_N34.bmp",0,1,0,0,0.5,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"neutral_S5.jpg",0,0,0,0,0.5,0,0.5,1,1,0,0,0,0.666666666666667,1,0,0,0,0,1,0,0,0,0,1,0
"neutral_r.jpg",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"neutral_SP2.jpg",0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,1,0,0,0
"neutral_SP3.jpg",0,0,0,0,0,0,0.5,1,1,0,0,0,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0,0
