"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_106.jpg","neutral_117.jpg","neutral_121.jpg","neutral_124.jpg","neutral_191.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2215.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N13.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N17.bmp","neutral_N33.bmp"
"neutral_082.jpg",0,1,0,0.5,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"neutral_099.jpg",1,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0,1,0,0,0,0.5,1,0,0,0,1,0
"neutral_103.jpg",0,0,0,0,1,1,0,0.5,0,1,0,0,0,1,0,0.5,1,0,0,0,0,0,0.5,0,0
"neutral_106.jpg",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5
"neutral_117.jpg",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0
"neutral_121.jpg",0,0,1,0,0,0,0.5,1,0,0,0,0.5,0,0,1,0.5,0,0.5,0,0,0,0,0,0,0
"neutral_124.jpg",1,0,0,0,0,0.5,0,0,0,0,0,1,1,0,1,1,0,0.333333333333333,0,0,1,0,1,0,0.666666666666667
"neutral_191.jpg",0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0.5,0,0.5,0.5,0,0,0,0,0,0.5
"neutral_199.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0
"neutral_2019.jpg",0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_2215.jpg",1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0
"neutral_2393.jpg",1,0,0,0,0,0.5,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5
"neutral_2394.jpg",1,0,0,0,1,0,1,0,0,0,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0.5,0,0
"neutral_2495.jpg",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_2745.1.jpg",0,1,0,0.5,0.5,1,1,1,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0,0,0.5
"neutral_D.jpg",1,0,0.5,0,0,0.5,1,0.5,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,1,0
"neutral_J2.jpg",0,0,1,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0,0,0,0.5,0,0,0,0,0
"neutral_N04.bmp",0,0,0,0,0,0.5,0.333333333333333,0.5,1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,1,0,1,1
"neutral_N05.bmp",0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0.5,0,0.666666666666667,0,1,0,0,0,0,1
"neutral_N07.bmp",0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,1,0,1,1,1,1,0
"neutral_N13.bmp",1,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,1,0,0,1
"neutral_N20.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
"neutral_N22.bmp",0,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1
"neutral_N17.bmp",0,1,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"neutral_N33.bmp",0,0,0,0.5,0,0,0.666666666666667,0.5,0,0,0,0.5,0,0,0.5,0,0,1,1,0,1,1,1,0,0
