"","positive_012.jpg","positive_015.jpg","positive_041.jpg","positive_047.jpg","positive_056.jpg","positive_078.jpg","positive_2002.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_2391.jpg","positive_2395.jpg","positive_4598.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_8120.jpg","positive_8300.jpg","positive_g6.jpg","positive_hp2.jpg","positive_s2.jpg","positive_s5.jpg","positive_S22.jpg","positive_d6.jpg","positive_y5.jpg"
"positive_012.jpg",0,0.75,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0,0,1,1,0,0,0,0
"positive_015.jpg",0.75,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,0,0,1,0,1,0
"positive_041.jpg",1,0,0,0.75,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0
"positive_047.jpg",0.5,1,0.75,0,0.666666666666667,0.333333333333333,0,1,0.333333333333333,0,0,0.5,0,0,0,0,1,0,1,1,0,0,0,0,0
"positive_056.jpg",0,1,0.5,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0.5,0
"positive_078.jpg",0,0,0,0.333333333333333,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"positive_2300.jpg",0,1,0,1,0,0,0.5,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"positive_2304.jpg",0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,0,0.666666666666667,1,0,0.5,0,0
"positive_2306.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"positive_2391.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"positive_2395.jpg",0,0,0,0.5,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0.5,0,0,0,0.5
"positive_4598.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0
"positive_5830.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"positive_5831.jpg",0,0,0,0,0,0,0,0,1,0,1,1,0.5,0,0,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0
"positive_7325.jpg",0.666666666666667,1,1,0,0,0,0,1,0.5,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0.5,0,0,0.5,0
"positive_8120.jpg",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.666666666666667,1,0,1,0.5,0,1,0,0,0,0
"positive_8300.jpg",0,0.333333333333333,0,0,0,1,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0
"positive_g6.jpg",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0.5,0,0,0,0.333333333333333,0,0,0,1
"positive_hp2.jpg",1,0,0,1,0,0,0,0,0.666666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"positive_s2.jpg",1,0,0,0,0.333333333333333,1,0,0,1,1,0,0.5,0,0,0,0.5,1,0,0.333333333333333,0,0,0.5,0,0,0
"positive_s5.jpg",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"positive_S22.jpg",0,0,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_d6.jpg",0,1,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0
"positive_y5.jpg",0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0
