"","positive_015.jpg","positive_032.jpg","positive_042.jpg","positive_073.jpg","positive_078.jpg","positive_2002.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_2395.jpg","positive_4574.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_7499.jpg","positive_7502.jpg","positive_7660.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_s2.jpg","positive_S22.jpg","positive_EF1.jpg","positive_t1.jpg"
"positive_015.jpg",0,0.5,0,0,0.5,0,0.5,0,0.5,0,1,0,0,0,1,0.25,0,0,0,0,0,1,1,0,0
"positive_032.jpg",0.5,0,0,0.25,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0.5,0
"positive_042.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
"positive_073.jpg",0,0.25,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0.5,1,0.5,0,0,0,0
"positive_078.jpg",0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0
"positive_2002.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2217.jpg",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"positive_2300.jpg",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,0.5,0,0,1,0,0,0.5,0.666666666666667
"positive_2304.jpg",0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,1,0
"positive_2306.jpg",0,0,0,1,0,0,0,0.333333333333333,0,0,0,0.5,0,0.5,1,0,0.5,0.5,0.5,0.5,0,1,0.666666666666667,0,0
"positive_2395.jpg",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0
"positive_4574.jpg",0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,0,0,0,0,1,1,0,0.5,0,0,0
"positive_5830.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0
"positive_5831.jpg",0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_7325.jpg",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"positive_7499.jpg",0.25,1,0,0,1,0,0,1,0,0,0.5,0,0,0,0,0,1,1,1,1,1,1,0,0,1
"positive_7502.jpg",0,1,1,1,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,1,0,0,0.5,0,0
"positive_7660.jpg",0,0,0.5,0,1,0,0,0.5,0,0.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"positive_8461.jpg",0,1,0,0.5,1,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0,0
"positive_8470.jpg",0,0,0,1,1,0,0,0,0,0.5,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1
"positive_b.jpg",0,0,0,0.5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"positive_s2.jpg",1,0,0,0,0,0,0,0,1,1,0,0.5,0.5,0,1,1,0,1,0.666666666666667,1,0,0,1,0,0
"positive_S22.jpg",1,0,0,0,0,0,0.5,0,0.75,0.666666666666667,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0
"positive_EF1.jpg",0,0.5,0,0,1,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_t1.jpg",0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
