"","positive_032.jpg","positive_042.jpg","positive_078.jpg","positive_2025.jpg","positive_2217.jpg","positive_2300.jpg","positive_2306.jpg","positive_2391.jpg","positive_2395.jpg","positive_2550.jpg","positive_4574.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_5831.jpg","positive_7325.jpg","positive_7499.jpg","positive_7502.jpg","positive_8120.jpg","positive_8461.jpg","positive_EF1.jpg","positive_g6.jpg","positive_r4.jpg","positive_s5.jpg","positive_t1.jpg"
"positive_032.jpg",0,1,0,0,0,0,1,0.5,0.5,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0
"positive_042.jpg",1,0,1,0,0,1,0,0.333333333333333,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
"positive_078.jpg",0,1,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"positive_2025.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.5,0,0
"positive_2217.jpg",0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2300.jpg",0,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1,1,0,0,0,0,0.75,0,0,0,0
"positive_2306.jpg",1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,1,0,0.5,1,0,1,0.5,0,0,0,0
"positive_2391.jpg",0.5,0.333333333333333,0,0,0,0,1,0,1,0,0,0,0,0.5,0.5,0,0,1,1,0,0.5,1,0,0,0
"positive_2395.jpg",0.5,1,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0.333333333333333,1,0,0,0,1,0.5,0.333333333333333,1,1,0
"positive_2550.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"positive_4574.jpg",0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,0
"positive_4598.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"positive_4689.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_5628.jpg",1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.75,1,0,0.333333333333333,0,1,1,0,0,0
"positive_5831.jpg",1,1,1,0,0,1,1,0.5,0.333333333333333,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"positive_7325.jpg",1,1,0,0,0,1,0,0,1,0,0.5,0.5,0,0.75,0,0,1,0,1,0,0,1,1,0,0
"positive_7499.jpg",0,1,0,0,0,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"positive_7502.jpg",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.5,0,1,1,0
"positive_8120.jpg",0,0,0,0,0,0,0,1,0,0,1,0,0,0.333333333333333,1,1,0,0,0,0,0,0,0,0.5,0
"positive_8461.jpg",0,0,0,0.333333333333333,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.5,0,0,0
"positive_EF1.jpg",0,0,1,0,0,0.75,0.5,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0
"positive_g6.jpg",1,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,0,0
"positive_r4.jpg",0,1,0,0.5,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.5
"positive_s5.jpg",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.4
"positive_t1.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.4,0
