"","negative_206.jpg","negative_207.jpg","negative_224.jpg","negative_228.jpg","negative_2410.bmp","negative_2750.jpg","negative_2810.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6311.jpg","negative_6555.jpg","negative_8231.jpg","negative_9190.jpg","negative_9421.jpg","negative_9530.bmp","negative_AF3.jpg","negative_c5.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_h11.bmp","negative_L08.bmp","negative_L24.bmp","negative_L04.bmp","negative_T1.jpg"
"negative_206.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_207.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5
"negative_224.jpg",0,0,0,0,0,0,0.5,1,0.333333333333333,1,0,0,0,0,0.5,0,0,0,1,0,0.6,0,1,0.5,0
"negative_228.jpg",0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.333333333333333,0.5,0,1,0
"negative_2410.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2750.jpg",1,0,0,0.5,0,0,0,0.5,0.5,0.5,1,0,0.333333333333333,0,0,0,0,0,1,0,0.5,0,1,0,0
"negative_2810.jpg",0,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"negative_3180.jpg",0,0,1,0,0,0.5,0,0,0,0,1,1,1,0.333333333333333,0,0.333333333333333,0,0,1,0.75,1,0,1,0,0
"negative_3280.jpg",0,0,0.333333333333333,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"negative_6211.jpg",0,0,1,1,0,0.5,0,0,0.25,0,0,0,0,0.666666666666667,1,1,0,0,0,0,0.333333333333333,1,1,0,0.333333333333333
"negative_6311.jpg",0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0,0,0,0
"negative_6555.jpg",0,0,0,0,0,0,1,1,0,0,0,0,0,0.666666666666667,0,1,0,0,0,1,0,0,1,0,0.5
"negative_8231.jpg",0,0,0,0,0,0.333333333333333,1,1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"negative_9190.jpg",0,1,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0,0.666666666666667,0,0,1,0,0,0.666666666666667,0,0.5,0,0,1,0,0.166666666666667
"negative_9421.jpg",0,0,0.5,0,0,0,0,0,0,1,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0
"negative_9530.bmp",0,0,0,1,0,0,0,0.333333333333333,0,1,0,1,0.5,0,0.5,0,0,1,0.5,0.333333333333333,0,0.5,1,0.5,0
"negative_AF3.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_c5.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0,1,0,0.333333333333333
"negative_DP3.jpg",0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.5,0,0,0,1,0,1,1,0,0
"negative_FP3.jpg",0,0,0,0,0,0,1,0.75,0,0,0,1,0,0.5,0,0.333333333333333,0,0,1,0,1,0,0,0.5,0
"negative_h11.bmp",0,1,0.6,0.333333333333333,0,0.5,0,1,0.25,0.333333333333333,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0
"negative_L08.bmp",0,0,0,0.5,0,0,0,0,0,1,0,0,0.5,0,0,0.5,0,0,1,0,0.5,0,0,0,0
"negative_L24.bmp",0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
"negative_L04.bmp",0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0
"negative_T1.jpg",0,0.5,0,0,0,0,0,0,0,0.333333333333333,0,0.5,0,0.166666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0
