"","positive_012.jpg","positive_015.jpg","positive_032.jpg","positive_041.jpg","positive_042.jpg","positive_073.jpg","positive_078.jpg","positive_1601.jpg","positive_2025.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2395.jpg","positive_2501.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_8120.jpg","positive_8470.jpg","positive_c1.jpg","positive_EF1.jpg","positive_p1.jpg","positive_s2.jpg","positive_s5.jpg","positive_y5.jpg"
"positive_012.jpg",0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.5,0,0,0,0
"positive_015.jpg",1,0,1,0,0,0,0,0,0,0,0,1,0,0.6,0,0,0,0,0,1,1,0.5,1,0,0
"positive_032.jpg",1,1,0,0,1,0,1,0.5,1,1,0,0,0,1,0,0,0,0.666666666666667,1,0.5,0,1,0,0,0
"positive_041.jpg",1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5
"positive_042.jpg",0,0,1,1,0,0.5,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0.5,0,0,1,0,0.5,0,1,0,0,0
"positive_073.jpg",1,0,0,1,0.5,0,0,0,0,0,0,0,1,1,1,0,0,1,0.5,0,1,1,0,0,0
"positive_078.jpg",0,0,1,0,0.666666666666667,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,1
"positive_1601.jpg",0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0,1,0
"positive_2025.jpg",0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"positive_2217.jpg",1,0,1,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0
"positive_2300.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"positive_2304.jpg",1,1,0,1,0.333333333333333,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0
"positive_2395.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"positive_2501.jpg",1,0.6,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"positive_4598.jpg",0,0,0,0,0.5,1,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,1,0.5,0,0.333333333333333,0
"positive_4689.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"positive_5628.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333333333,0,0,1,0,1
"positive_8120.jpg",0,0,0.666666666666667,0,1,1,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,1
"positive_8470.jpg",0,0,1,0,0,0.5,1,0.5,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5
"positive_c1.jpg",0,1,0.5,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0.333333333333333,1,0.5,0,0.5,0,0,0,0
"positive_EF1.jpg",0.5,1,0,0.5,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0
"positive_p1.jpg",0,0.5,1,0,1,1,0,0,0,0,0,0.5,0,1,0.5,0,0,0.5,0,0,0,0,0,0,0
"positive_s2.jpg",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,1
"positive_s5.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,1
"positive_y5.jpg",0,0,0,0.5,0,0,1,0,0.5,0,0,0,1,0,0,0,1,1,0.5,0,0,0,1,1,0
