"","positive_032.jpg","positive_042.jpg","positive_047.jpg","positive_073.jpg","positive_2025.jpg","positive_2034.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_8120.jpg","positive_8461.jpg","positive_b.jpg","positive_d6.jpg","positive_g6.jpg","positive_r4.jpg","positive_s2.jpg","positive_S22.jpg","positive_y5.jpg"
"positive_032.jpg",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,1,1,1,0,0
"positive_042.jpg",1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.5,1,0,0,1,0,0,0.5,1,0
"positive_047.jpg",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"positive_073.jpg",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0,0,0.833333333333333,0,0
"positive_2025.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0.666666666666667,0,0.5,0,0,0,0
"positive_2034.jpg",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.5,0,1,0.666666666666667,0,0
"positive_2217.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0,1,1,0,0,0,0
"positive_2300.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"positive_2304.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0,0,0.5,0
"positive_2306.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,1,0,1,0
"positive_4598.jpg",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"positive_4689.jpg",0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"positive_5628.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.666666666666667,0,1,0,0,0,0
"positive_5830.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
"positive_5831.jpg",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"positive_7325.jpg",1,0.5,0,0,0,0,0.5,0,1,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0
"positive_8120.jpg",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"positive_8461.jpg",0.25,0,0,1,0,0.333333333333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"positive_b.jpg",0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0.666666666666667,1,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"positive_d6.jpg",1,1,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.333333333333333,0
"positive_g6.jpg",1,0,0,0,0.5,0,1,0,0.5,0,0,0,1,1,1,0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,1
"positive_r4.jpg",1,0,1,0,0,1,0,0,0,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"positive_s2.jpg",1,0.5,0,0.833333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0.833333333333333,0,0,0,0,0
"positive_S22.jpg",0,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0,1,0,0.333333333333333,0.333333333333333,0,0,0,0
"positive_y5.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
